Div,Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,Referee,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,B365H,B365D,B365A,BWH,BWD,BWA,IWH,IWD,IWA,PSH,PSD,PSA,WHH,WHD,WHA,VCH,VCD,VCA,MaxH,MaxD,MaxA,AvgH,AvgD,AvgA,B365>2.5,B365<2.5,P>2.5,P<2.5,Max>2.5,Max<2.5,Avg>2.5,Avg<2.5,AHh,B365AHH,B365AHA,PAHH,PAHA,MaxAHH,MaxAHA,AvgAHH,AvgAHA,B365CH,B365CD,B365CA,BWCH,BWCD,BWCA,IWCH,IWCD,IWCA,PSCH,PSCD,PSCA,WHCH,WHCD,WHCA,VCCH,VCCD,VCCA,MaxCH,MaxCD,MaxCA,AvgCH,AvgCD,AvgCA,B365C>2.5,B365C<2.5,PC>2.5,PC<2.5,MaxC>2.5,MaxC<2.5,AvgC>2.5,AvgC<2.5,AHCh,B365CAHH,B365CAHA,PCAHH,PCAHA,MaxCAHH,MaxCAHA,AvgCAHH,AvgCAHA
E0,12/09/2020,12:30,Fulham,Arsenal,0,3,A,0,1,A,C Kavanagh,5,13,2,6,12,12,2,3,2,2,0,0,6,4.33,1.53,5.5,4.25,1.57,6,3.9,1.57,6.16,4.51,1.56,6.5,4.2,1.53,6.5,4.2,1.55,6.55,4.55,1.6,5.94,4.34,1.55,1.72,2.1,1.8,2.13,1.84,2.18,1.76,2.1,1,1.93,1.97,1.96,1.96,2,1.99,1.93,1.95,5,4,1.66,5.5,4,1.62,5.25,3.9,1.67,5.48,3.98,1.69,5.5,3.8,1.65,5.5,3.9,1.67,5.75,4.2,1.71,5.36,3.93,1.67,2,1.8,2.06,1.86,2.1,1.92,2,1.84,0.75,2.01,1.89,2.02,1.91,2.13,1.92,2.02,1.87
E0,19/09/2020,15:00,Leeds,Fulham,4,3,H,2,1,H,A Taylor,10,14,7,6,13,18,5,3,1,2,0,0,1.61,3.9,5.75,1.62,4,5.5,1.65,3.7,5.5,1.65,4.05,5.61,1.63,3.9,5.5,1.62,3.9,6,1.7,4.15,6,1.64,3.97,5.5,1.97,1.93,1.96,1.96,1.99,2,1.93,1.91,-0.75,1.81,2.09,1.85,2.08,1.86,2.14,1.82,2.07,1.66,3.8,5.25,1.67,4,5,1.75,3.55,4.9,1.75,3.91,5.12,1.7,3.7,5.25,1.73,3.7,5.25,1.8,4,5.7,1.73,3.81,5.05,2.01,1.89,2.03,1.89,2.04,2.05,1.96,1.88,-0.75,1.97,1.93,1.99,1.94,2.01,2.03,1.95,1.93
E0,28/09/2020,17:45,Fulham,Aston Villa,0,3,A,0,2,A,S Attwell,16,12,3,5,18,14,5,3,6,3,0,0,2.9,3.25,2.5,2.85,3.25,2.55,2.95,3.05,2.5,2.98,3.32,2.54,2.9,3.25,2.5,2.88,3.25,2.55,3,3.44,2.62,2.92,3.26,2.52,2,1.8,2.16,1.78,2.16,1.82,2.07,1.76,0,2.08,1.82,2.13,1.81,2.13,1.86,2.07,1.8,3,3.4,2.37,3,3.4,2.35,2.95,3.35,2.45,3.04,3.49,2.48,3.1,3.3,2.38,3,3.3,2.4,3.22,3.5,2.51,3.01,3.38,2.41,1.9,1.9,2.01,1.91,2.01,2.05,1.95,1.87,0.25,1.8,2.1,1.83,2.13,1.91,2.14,1.81,2.08
E0,04/10/2020,14:00,Wolves,Fulham,1,0,H,0,0,D,D England,14,10,5,2,15,8,6,2,1,1,0,0,1.5,4,7.5,1.5,4,7.25,1.53,3.8,7,1.51,4.2,7.63,1.52,3.9,7.5,1.5,4,7.5,1.56,4.28,7.78,1.51,4.07,7.19,2.1,1.72,2.19,1.75,2.19,1.79,2.12,1.73,-1,1.94,1.99,1.97,1.96,1.97,2.01,1.91,1.96,1.75,3.4,5.25,1.83,3.3,5,1.8,3.25,5,1.82,3.64,5.08,1.75,3.4,5.5,1.75,3.5,5.25,1.83,3.79,5.72,1.79,3.49,5.1,2.3,1.61,2.36,1.67,2.36,1.78,2.26,1.65,-0.75,2.08,1.85,2.1,1.85,2.12,1.86,2.05,1.83
E0,18/10/2020,12:00,Sheffield United,Fulham,1,1,D,0,0,D,A Marriner,10,15,6,6,5,9,2,5,0,2,0,0,2.1,3.3,3.7,2.05,3.4,3.7,2.15,3.1,3.7,2.15,3.4,3.84,2.1,3.25,3.75,2.05,3.25,3.9,2.17,3.45,3.95,2.11,3.32,3.74,2.2,1.66,2.31,1.69,2.33,1.71,2.25,1.65,-0.25,1.75,2.05,1.84,2.11,1.85,2.14,1.8,2.08,2.25,3.2,3.5,2.25,3.25,3.4,2.3,2.95,3.4,2.4,3.16,3.48,2.25,3.1,3.5,2.2,3.2,3.5,2.42,3.31,3.74,2.29,3.16,3.46,2.3,1.61,2.34,1.67,2.36,1.7,2.27,1.65,-0.25,2,1.9,2.03,1.9,2.04,2.03,1.96,1.93
E0,24/10/2020,15:00,Fulham,Crystal Palace,1,2,A,0,1,A,G Scott,16,14,3,10,11,11,4,4,0,1,1,0,2.75,3.1,2.7,2.7,3.1,2.8,2.75,2.95,2.75,2.8,3.21,2.86,2.7,3.2,2.75,2.75,3.13,2.75,2.83,3.34,2.86,2.74,3.14,2.77,2.3,1.61,2.36,1.66,2.37,1.71,2.27,1.65,0,1.93,2,1.94,1.99,1.99,2.03,1.92,1.95,2.5,3.2,2.9,2.6,3.2,2.8,2.6,2.9,2.95,2.66,3.14,3.08,2.55,3.2,2.9,2.55,3.13,3,2.68,3.32,3.1,2.58,3.15,2.96,2.3,1.61,2.37,1.66,2.39,1.71,2.27,1.64,0,1.83,2.1,1.83,2.12,1.86,2.14,1.81,2.08
E0,02/11/2020,17:30,Fulham,West Brom,2,0,H,2,0,H,S Hooper,13,10,6,1,13,11,5,2,3,2,0,0,2.4,3.3,3,2.4,3.3,3,2.45,3.1,3,2.47,3.4,3.13,2.4,3.3,3,2.45,3.25,3,2.56,3.5,3.17,2.44,3.32,3.01,2,1.8,2.13,1.8,2.14,1.85,2.06,1.78,-0.25,2.1,1.8,2.11,1.84,2.15,1.86,2.1,1.8,2.4,3.3,3,2.45,3.3,2.95,2.4,3.05,3.1,2.48,3.32,3.19,2.4,3.2,3.1,2.4,3.25,3.1,2.48,3.45,3.22,2.41,3.27,3.09,2.05,1.85,2.05,1.88,2.11,1.92,2.02,1.81,-0.25,2.06,1.84,2.11,1.84,2.12,1.87,2.08,1.82
E0,07/11/2020,20:00,West Ham,Fulham,1,0,H,0,0,D,R Jones,16,13,7,3,10,9,9,5,2,2,0,0,1.83,3.75,4.2,1.85,3.75,4.1,1.83,3.55,4.3,1.85,3.98,4.34,1.8,3.75,4.33,1.8,3.7,4.5,1.88,4,4.5,1.83,3.82,4.23,1.8,2,1.85,2.09,1.88,2.09,1.82,2,-0.75,2.02,1.77,2.12,1.81,2.14,1.84,2.09,1.79,1.83,3.8,4,1.8,3.8,4.33,1.9,3.5,4.1,1.9,3.96,4.12,1.83,3.75,4.2,1.83,3.7,4.33,1.91,4,4.38,1.85,3.79,4.2,1.8,2,1.9,2.02,1.92,2.15,1.83,1.99,-0.5,1.86,2.07,1.9,2.03,1.9,2.09,1.86,2.03
E0,22/11/2020,12:00,Fulham,Everton,2,3,A,1,3,A,A Madley,14,9,6,7,14,10,2,5,2,0,0,0,3.9,3.9,1.85,4,3.8,1.85,3.7,3.75,1.9,4.06,3.86,1.93,4,3.7,1.88,4.1,3.7,1.87,4.12,3.96,1.96,3.93,3.79,1.9,1.72,2.1,1.81,2.1,1.82,2.17,1.75,2.1,0.5,2,1.93,1.99,1.93,2.02,1.96,1.96,1.91,4.2,3.8,1.8,4.2,3.75,1.85,3.8,3.7,1.9,4.24,3.89,1.88,4.4,3.6,1.83,4.2,3.7,1.85,4.68,3.95,1.9,4.21,3.78,1.85,1.9,1.9,1.95,1.95,1.97,2.05,1.87,1.95,0.5,2.06,1.87,2.04,1.88,2.08,1.9,2.03,1.85
E0,30/11/2020,17:30,Leicester,Fulham,1,2,A,0,2,A,S Hooper,16,10,3,5,9,21,6,5,0,2,0,0,1.5,4.33,6.5,1.53,4.1,6.5,1.53,4.3,6,1.54,4.53,6.44,1.52,4.2,6.5,1.5,4.33,6.5,1.58,4.53,6.55,1.54,4.35,6.15,1.72,2.1,1.72,2.23,1.81,2.23,1.73,2.12,-1,1.92,1.98,1.95,1.97,1.97,2.02,1.9,1.95,1.55,4.2,6,1.6,4.1,5.5,1.6,4.1,5.25,1.68,4.1,5.34,1.57,4,6,1.67,3.9,5.25,1.68,4.3,6.49,1.63,4.09,5.44,1.8,2,1.8,2.11,1.81,2.26,1.74,2.1,-1,2.08,1.73,2.19,1.76,2.23,1.92,2.09,1.8
