Div,Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,Referee,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,B365H,B365D,B365A,BWH,BWD,BWA,IWH,IWD,IWA,PSH,PSD,PSA,WHH,WHD,WHA,VCH,VCD,VCA,MaxH,MaxD,MaxA,AvgH,AvgD,AvgA,B365>2.5,B365<2.5,P>2.5,P<2.5,Max>2.5,Max<2.5,Avg>2.5,Avg<2.5,AHh,B365AHH,B365AHA,PAHH,PAHA,MaxAHH,MaxAHA,AvgAHH,AvgAHA,B365CH,B365CD,B365CA,BWCH,BWCD,BWCA,IWCH,IWCD,IWCA,PSCH,PSCD,PSCA,WHCH,WHCD,WHCA,VCCH,VCCD,VCCA,MaxCH,MaxCD,MaxCA,AvgCH,AvgCD,AvgCA,B365C>2.5,B365C<2.5,PC>2.5,PC<2.5,MaxC>2.5,MaxC<2.5,AvgC>2.5,AvgC<2.5,AHCh,B365CAHH,B365CAHA,PCAHH,PCAHA,MaxCAHH,MaxCAHA,AvgCAHH,AvgCAHA
E0,08/11/2020,19:15,Arsenal,Aston Villa,0,3,A,0,1,A,M Atkinson,13,15,2,6,11,13,3,8,0,0,0,0,1.65,4.1,5,1.7,4,4.75,1.73,3.75,4.7,1.7,4.11,5.27,1.7,3.8,5,1.67,4,5,1.75,4.2,5.27,1.7,3.97,4.92,1.66,2.2,1.69,2.3,1.74,2.34,1.68,2.22,-0.75,1.9,2.03,1.9,2.03,1.95,2.04,1.89,1.99,1.61,4.4,4.75,1.65,4.33,4.6,1.65,4.2,5,1.66,4.58,4.95,1.62,4.2,5.25,1.62,4.2,5.25,1.69,4.58,5.55,1.65,4.31,4.91,1.57,2.37,1.61,2.47,1.68,2.55,1.6,2.36,-0.75,1.85,2.08,1.85,2.1,1.86,2.15,1.83,2.07
E0,13/02/2021,20:00,Brighton,Aston Villa,0,0,D,0,0,D,D England,26,4,9,1,16,12,9,2,2,3,0,0,2.7,3.5,2.5,2.75,3.4,2.55,2.75,3.4,2.55,2.85,3.51,2.59,2.8,3.3,2.55,2.7,3.4,2.6,2.88,3.55,2.64,2.77,3.4,2.56,1.72,2.1,1.78,2.14,1.85,2.14,1.78,2.06,0,2.03,1.9,2.06,1.88,2.08,1.92,2,1.86,2.87,3.3,2.45,2.8,3.4,2.5,2.85,3.3,2.5,2.87,3.45,2.61,3,3.25,2.45,2.88,3.3,2.5,3.14,3.45,2.64,2.88,3.36,2.51,1.9,1.9,1.98,1.93,2.03,2.08,1.93,1.9,0,2.08,1.85,2.06,1.87,2.09,1.87,2.05,1.82
E0,27/01/2021,18:00,Burnley,Aston Villa,3,2,H,0,1,A,P Tierney,10,18,5,10,16,7,2,4,1,0,0,0,3.8,3.5,1.95,3.8,3.5,2,3.85,3.55,1.95,4.01,3.65,2,3.9,3.4,2,3.8,3.5,2,4.03,3.69,2.06,3.84,3.53,2,1.9,1.9,1.92,1.99,1.96,2.02,1.9,1.92,0.5,1.91,2.02,1.93,2,1.93,2.07,1.87,2,4.2,3.6,1.8,4.33,3.75,1.8,4.4,3.7,1.8,4.66,3.84,1.82,4.33,3.6,1.83,4.5,3.7,1.8,4.69,3.9,1.96,4.41,3.74,1.82,1.89,2.01,1.88,2.03,1.92,2.09,1.85,1.98,0.5,2.11,1.82,2.12,1.81,2.13,1.95,2.06,1.81
E0,28/12/2020,17:30,Chelsea,Aston Villa,1,1,D,1,0,H,S Attwell,16,10,5,2,16,3,11,4,3,1,0,0,1.61,4.2,5,1.67,4.1,4.75,1.7,4.1,4.5,1.71,4.25,4.89,1.7,4,4.75,1.67,4.2,4.75,1.74,4.32,5,1.69,4.18,4.72,1.53,2.5,1.57,2.53,1.58,2.55,1.55,2.45,-0.75,1.9,2.03,1.9,2.03,1.92,2.08,1.87,2.01,1.75,4,4.33,1.8,3.9,4.2,1.83,3.8,4,1.86,4.07,4.15,1.78,3.8,4.4,1.8,3.9,4.2,1.89,4.15,4.7,1.81,3.97,4.2,1.61,2.3,1.64,2.38,1.66,2.47,1.62,2.31,-1,2.35,1.58,2.59,1.56,2.65,1.64,2.45,1.59
E0,28/09/2020,17:45,Fulham,Aston Villa,0,3,A,0,2,A,S Attwell,16,12,3,5,18,14,5,3,6,3,0,0,2.9,3.25,2.5,2.85,3.25,2.55,2.95,3.05,2.5,2.98,3.32,2.54,2.9,3.25,2.5,2.88,3.25,2.55,3,3.44,2.62,2.92,3.26,2.52,2,1.8,2.16,1.78,2.16,1.82,2.07,1.76,0,2.08,1.82,2.13,1.81,2.13,1.86,2.07,1.8,3,3.4,2.37,3,3.4,2.35,2.95,3.35,2.45,3.04,3.49,2.48,3.1,3.3,2.38,3,3.3,2.4,3.22,3.5,2.51,3.01,3.38,2.41,1.9,1.9,2.01,1.91,2.01,2.05,1.95,1.87,0.25,1.8,2.1,1.83,2.13,1.91,2.14,1.81,2.08
E0,18/10/2020,19:15,Leicester,Aston Villa,0,1,A,0,0,D,J Moss,11,10,5,4,18,18,2,7,4,3,0,0,1.83,3.8,4.1,1.83,3.9,4,1.9,3.6,3.85,1.93,3.89,4.1,1.88,3.7,4,1.85,3.8,4,1.96,4,4.23,1.89,3.82,3.97,1.66,2.2,1.67,2.35,1.69,2.4,1.63,2.3,-0.5,1.89,2.01,1.93,2.01,1.95,2.05,1.9,1.99,2.35,3.6,2.87,2.3,3.6,3,2.4,3.35,2.85,2.48,3.62,2.95,2.35,3.4,3,2.38,3.6,2.88,2.48,3.68,3.12,2.38,3.57,2.93,1.61,2.3,1.68,2.32,1.68,2.47,1.64,2.28,-0.25,2.09,1.81,2.14,1.82,2.14,1.87,2.07,1.83
E0,20/01/2021,18:00,Man City,Aston Villa,2,0,H,0,0,D,J Moss,28,11,9,4,10,9,16,2,0,2,0,0,1.22,6.5,12,1.25,6.25,11.5,1.27,6,10,1.24,6.1,11.61,1.25,6,12,1.25,6,12,1.29,6.75,13,1.25,6.21,11.36,1.44,2.75,1.47,2.65,1.53,2.75,1.48,2.65,-1.75,1.95,1.95,1.93,1.91,1.98,2,1.92,1.94,1.28,6,10,1.3,5.75,9.5,1.33,5.5,8,1.33,5.95,9.55,1.3,5.5,10,1.3,5.5,10,1.35,6.2,11,1.31,5.79,9.32,1.5,2.62,1.49,2.76,1.55,2.82,1.49,2.62,-1.5,1.98,1.95,1.97,1.95,2,2.07,1.92,1.95
E0,01/01/2021,20:00,Man United,Aston Villa,2,1,H,1,0,H,M Oliver,19,5,9,5,22,10,5,10,4,0,0,0,1.72,4.2,4.2,1.7,4.2,4.5,1.75,3.9,4.4,1.78,4.14,4.52,1.75,4,4.4,1.7,4.1,4.6,1.81,4.35,4.7,1.74,4.14,4.42,1.53,2.5,1.58,2.52,1.58,2.72,1.54,2.48,-0.75,1.96,1.94,1.99,1.93,2.07,1.99,1.95,1.93,1.66,4,4.75,1.67,4.1,4.75,1.75,4,4.2,1.75,4.13,4.74,1.67,4,5,1.67,4.1,4.8,1.81,4.4,5.25,1.7,4.12,4.68,1.57,2.37,1.6,2.49,1.61,2.55,1.56,2.45,-0.75,1.91,1.99,1.95,1.97,2.07,2.08,1.9,1.98
E0,30/01/2021,20:00,Southampton,Aston Villa,0,1,A,0,1,A,L Mason,20,8,5,4,12,11,7,1,1,0,0,0,2.8,3.6,2.37,2.8,3.6,2.4,2.85,3.55,2.4,2.9,3.73,2.44,2.88,3.5,2.38,2.88,3.5,2.4,2.98,3.76,2.52,2.86,3.59,2.41,1.72,2.1,1.71,2.24,1.77,2.29,1.7,2.18,0.25,1.8,2.1,1.82,2.12,1.85,2.16,1.79,2.09,3.2,3.7,2.1,3.1,3.6,2.2,3.2,3.65,2.15,3.37,3.74,2.18,3.3,3.6,2.15,3.25,3.7,2.1,3.49,3.85,2.33,3.22,3.68,2.18,1.66,2.2,1.69,2.29,1.73,2.37,1.66,2.26,0.25,2.03,1.9,2.03,1.9,2.05,1.99,1.98,1.9
E0,20/12/2020,19:15,West Brom,Aston Villa,0,3,A,0,1,A,M Atkinson,1,19,1,10,14,8,1,7,1,2,1,0,3.6,3.8,1.95,3.7,3.8,1.95,3.65,3.45,1.97,3.82,3.83,2,3.7,3.6,2,3.7,3.6,2,3.88,3.86,2.06,3.69,3.7,1.99,1.72,2.1,1.8,2.11,1.81,2.16,1.75,2.1,0.5,1.91,2.02,1.93,2,1.94,2.05,1.87,1.99,4.5,4,1.72,4.33,4,1.75,4.5,3.75,1.77,5.08,4.17,1.7,4.6,3.9,1.73,4.8,3.8,1.73,5.08,4.23,1.78,4.64,4.02,1.73,1.72,2.1,1.75,2.18,1.78,2.26,1.73,2.13,0.75,2.02,1.91,2.05,1.88,2.06,1.99,1.95,1.93
