Div,Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,Referee,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,B365H,B365D,B365A,BWH,BWD,BWA,IWH,IWD,IWA,PSH,PSD,PSA,WHH,WHD,WHA,VCH,VCD,VCA,MaxH,MaxD,MaxA,AvgH,AvgD,AvgA,B365>2.5,B365<2.5,P>2.5,P<2.5,Max>2.5,Max<2.5,Avg>2.5,Avg<2.5,AHh,B365AHH,B365AHA,PAHH,PAHA,MaxAHH,MaxAHA,AvgAHH,AvgAHA,B365CH,B365CD,B365CA,BWCH,BWCD,BWCA,IWCH,IWCD,IWCA,PSCH,PSCD,PSCA,WHCH,WHCD,WHCA,VCCH,VCCD,VCCA,MaxCH,MaxCD,MaxCA,AvgCH,AvgCD,AvgCA,B365C>2.5,B365C<2.5,PC>2.5,PC<2.5,MaxC>2.5,MaxC<2.5,AvgC>2.5,AvgC<2.5,AHCh,B365CAHH,B365CAHA,PCAHH,PCAHA,MaxCAHH,MaxCAHA,AvgCAHH,AvgCAHA
E0,21/09/2020,18:00,Aston Villa,Sheffield United,1,0,H,0,0,D,G Scott,18,4,2,1,12,13,10,4,3,1,0,1,2.7,3.1,2.75,2.7,3.2,2.7,2.7,2.95,2.75,2.77,3.22,2.78,2.7,3.2,2.7,2.7,3.13,2.8,2.81,3.4,2.85,2.71,3.19,2.75,2.2,1.66,2.34,1.67,2.38,1.75,2.25,1.66,0,1.91,1.99,1.96,1.97,1.99,2.02,1.91,1.95,2.45,3.2,3.1,2.4,3.2,3.1,2.5,3.1,3.1,2.46,3.19,3.35,2.4,3.1,3.2,2.45,3.2,3.13,2.6,3.3,3.35,2.46,3.16,3.16,2.2,1.66,2.33,1.68,2.36,1.76,2.23,1.67,-0.25,2.1,1.83,2.08,1.86,2.14,1.87,2.09,1.81
E0,04/10/2020,19:15,Aston Villa,Liverpool,7,2,H,4,1,H,M Atkinson,18,14,11,8,7,10,2,7,2,1,0,0,10,5.5,1.3,9.75,5.5,1.3,8.25,5,1.35,10.05,5.4,1.33,9,5.25,1.33,10,5.5,1.3,10.25,5.7,1.38,9.35,5.41,1.33,1.53,2.5,1.54,2.62,1.58,2.66,1.53,2.5,1.5,1.95,1.98,1.93,1.98,1.98,2.01,1.93,1.95,6.5,4.8,1.44,6.5,4.75,1.45,6,4.8,1.5,6.76,5.1,1.47,7,4.6,1.44,6.5,4.8,1.44,7.6,5.16,1.5,6.65,4.89,1.45,1.44,2.75,1.45,2.92,1.49,3,1.44,2.79,1.25,1.94,1.99,1.93,2,2.03,2.01,1.93,1.95
E0,23/10/2020,20:00,Aston Villa,Leeds,0,3,A,0,0,D,P Tierney,12,27,4,9,14,17,6,5,2,2,0,0,2.05,3.75,3.3,2.15,3.6,3.25,2.1,3.5,3.3,2.13,3.83,3.44,2.1,3.7,3.3,2.1,3.7,3.3,2.16,3.9,3.47,2.11,3.75,3.33,1.57,2.37,1.62,2.45,1.65,2.47,1.61,2.36,-0.25,1.86,2.07,1.86,2.08,1.88,2.09,1.84,2.05,1.85,4,3.8,1.9,3.9,3.75,1.9,3.7,3.75,1.93,4.12,3.88,1.95,3.9,3.6,1.87,3.9,3.9,2.01,4.15,3.92,1.91,3.99,3.73,1.5,2.62,1.51,2.72,1.58,2.72,1.52,2.53,-0.5,1.9,2.03,1.93,2.01,1.95,2.05,1.9,1.98
E0,01/11/2020,12:00,Aston Villa,Southampton,3,4,A,0,3,A,D England,19,9,10,4,12,17,11,1,1,2,0,0,2.45,3.5,2.8,2.35,3.6,2.85,2.5,3.35,2.75,2.53,3.72,2.81,2.5,3.5,2.75,2.4,3.6,2.8,2.6,3.84,2.85,2.46,3.6,2.78,1.66,2.2,1.66,2.37,1.69,2.38,1.65,2.27,0,1.83,2.07,1.87,2.07,1.87,2.09,1.83,2.05,2.6,3.5,2.62,2.5,3.6,2.7,2.55,3.5,2.7,2.69,3.56,2.73,2.6,3.5,2.62,2.5,3.6,2.7,2.7,3.7,2.8,2.57,3.55,2.69,1.66,2.2,1.7,2.29,1.71,2.37,1.66,2.24,0,1.93,1.97,1.95,1.98,1.97,2.04,1.89,1.98
E0,21/11/2020,15:00,Aston Villa,Brighton,1,2,A,0,1,A,M Oliver,15,7,4,3,5,18,12,3,2,1,0,1,2.15,3.6,3.2,2.15,3.6,3.25,2.2,3.6,3.05,2.24,3.69,3.28,2.2,3.6,3.2,2.15,3.5,3.3,2.27,3.78,3.34,2.19,3.61,3.21,1.72,2.1,1.77,2.15,1.8,2.18,1.75,2.09,-0.25,1.92,2.01,1.94,1.98,1.94,2.04,1.9,1.98,2.3,3.5,3,2.25,3.5,3.1,2.3,3.55,3,2.4,3.51,3.12,2.25,3.5,3.1,2.25,3.6,3.1,2.4,3.73,3.45,2.28,3.52,3.11,1.66,2.2,1.7,2.26,1.76,2.37,1.69,2.18,-0.25,2.04,1.89,2.07,1.86,2.08,1.92,2.01,1.88
E0,17/12/2020,18:00,Aston Villa,Burnley,0,0,D,0,0,D,C Pawson,27,6,7,4,17,19,11,1,1,1,0,0,1.75,3.8,4.5,1.7,4,4.75,1.73,3.6,4.7,1.76,3.93,4.95,1.73,3.75,4.8,1.73,3.75,4.8,1.79,4.04,4.95,1.74,3.84,4.73,1.9,1.9,1.9,2.01,1.92,2.09,1.85,1.96,-0.75,2.01,1.92,2.01,1.91,2.03,1.95,1.97,1.9,1.83,3.75,4.2,1.85,3.7,4.2,1.9,3.6,4,1.85,3.86,4.47,1.83,3.7,4.33,1.87,3.7,4.1,1.91,3.98,4.55,1.86,3.74,4.17,1.72,2.1,1.79,2.13,1.81,2.26,1.75,2.09,-0.5,1.88,2.05,1.85,2.09,1.9,2.09,1.86,2
E0,26/12/2020,15:00,Aston Villa,Crystal Palace,3,0,H,1,0,H,A Taylor,21,13,10,6,18,16,4,4,1,4,1,0,1.9,3.75,3.8,1.95,3.7,3.75,1.95,3.45,3.8,1.95,3.9,3.91,1.95,3.7,3.75,1.91,3.6,4,2.01,3.95,4,1.94,3.75,3.8,1.72,2.1,1.78,2.14,1.82,2.14,1.77,2.06,-0.5,1.95,1.95,1.95,1.97,1.98,1.98,1.94,1.92,1.8,3.75,4.33,1.8,3.8,4.25,1.8,3.65,4.3,1.83,3.93,4.47,1.83,3.8,4.2,1.87,3.8,4,1.87,4.05,4.6,1.82,3.83,4.32,1.72,2.1,1.76,2.17,1.78,2.26,1.73,2.12,-0.5,1.77,2.02,1.83,2.1,1.85,2.14,1.81,2.06
E0,23/01/2021,20:00,Aston Villa,Newcastle,2,0,H,2,0,H,S Hooper,14,7,5,1,9,18,5,4,0,3,0,0,1.45,4.75,6.5,1.48,4.75,6,1.5,4.5,6.25,1.52,4.68,6.46,1.5,4.4,6.5,1.5,4.33,6.5,1.55,4.75,6.8,1.5,4.53,6.37,1.66,2.2,1.71,2.25,1.77,2.28,1.69,2.2,-1,1.87,2.06,1.85,2.08,1.91,2.11,1.83,2.04,1.5,4.75,5.75,1.48,4.6,6.25,1.53,4.6,5.75,1.52,4.66,6.51,1.5,4.5,6.5,1.5,4.4,6.5,1.56,4.84,6.75,1.51,4.59,6.24,1.61,2.3,1.64,2.39,1.67,2.51,1.6,2.37,-1,1.81,2.13,1.85,2.09,1.86,2.16,1.82,2.07
E0,03/02/2021,20:15,Aston Villa,West Ham,1,3,A,0,0,D,A Madley,9,20,2,10,11,15,7,3,1,1,0,0,2.2,3.4,3.25,2.15,3.4,3.4,2.2,3.45,3.3,2.23,3.5,3.46,2.2,3.3,3.4,2.15,3.5,3.3,2.28,3.59,3.48,2.21,3.43,3.33,1.72,2.1,1.73,2.22,1.77,2.25,1.7,2.17,-0.25,1.92,2.01,1.92,2,1.95,2.04,1.9,1.97,2.25,3.5,3.1,2.25,3.5,3.1,2.35,3.25,3.05,2.46,3.57,2.98,2.3,3.3,3.2,2.38,3.4,3,2.5,3.57,3.25,2.36,3.45,3.04,1.72,2.1,1.79,2.12,1.84,2.16,1.78,2.04,-0.25,2.11,1.82,2.12,1.82,2.13,1.88,2.05,1.82
E0,06/02/2021,12:30,Aston Villa,Arsenal,1,0,H,1,0,H,C Kavanagh,12,14,8,3,12,12,3,7,3,2,0,0,2.62,3.5,2.6,2.6,3.6,2.6,2.75,3.45,2.55,2.84,3.51,2.6,2.7,3.5,2.55,2.55,3.6,2.6,2.87,3.66,2.65,2.74,3.47,2.56,1.66,2.2,1.71,2.25,1.75,2.26,1.69,2.19,0,2.04,1.86,2.06,1.88,2.09,1.91,2.02,1.86,2.87,3.5,2.37,2.9,3.5,2.4,2.95,3.3,2.45,3.05,3.5,2.45,2.9,3.4,2.45,2.9,3.5,2.38,3.1,3.59,2.53,2.98,3.46,2.4,1.72,2.1,1.75,2.19,1.77,2.26,1.72,2.14,0.25,1.82,2.11,1.83,2.11,1.94,2.16,1.83,2.07
