Div,Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,Referee,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,B365H,B365D,B365A,BWH,BWD,BWA,IWH,IWD,IWA,PSH,PSD,PSA,WHH,WHD,WHA,VCH,VCD,VCA,MaxH,MaxD,MaxA,AvgH,AvgD,AvgA,B365>2.5,B365<2.5,P>2.5,P<2.5,Max>2.5,Max<2.5,Avg>2.5,Avg<2.5,AHh,B365AHH,B365AHA,PAHH,PAHA,MaxAHH,MaxAHA,AvgAHH,AvgAHA,B365CH,B365CD,B365CA,BWCH,BWCD,BWCA,IWCH,IWCD,IWCA,PSCH,PSCD,PSCA,WHCH,WHCD,WHCA,VCCH,VCCD,VCCA,MaxCH,MaxCD,MaxCA,AvgCH,AvgCD,AvgCA,B365C>2.5,B365C<2.5,PC>2.5,PC<2.5,MaxC>2.5,MaxC<2.5,AvgC>2.5,AvgC<2.5,AHCh,B365CAHH,B365CAHA,PCAHH,PCAHA,MaxCAHH,MaxCAHA,AvgCAHH,AvgCAHA
E0,14/09/2020,20:15,Brighton,Chelsea,1,3,A,0,1,A,C Pawson,13,10,3,5,8,13,4,3,1,0,0,0,5,4.33,1.61,5,4.1,1.65,5,3.7,1.67,5.36,4.34,1.65,5.25,4,1.65,5.25,3.9,1.65,5.36,4.35,1.71,5.12,4.13,1.65,1.72,2.1,1.79,2.14,1.84,2.18,1.76,2.08,0.75,2.06,1.84,2.11,1.83,2.11,1.88,2.05,1.82,5.75,4.4,1.53,5.75,4.25,1.55,5.5,4.2,1.6,6.07,4.46,1.57,6,4.2,1.55,6,4.2,1.57,6.4,4.7,1.6,5.91,4.35,1.56,1.72,2.1,1.71,2.27,1.8,2.27,1.71,2.17,1,1.93,1.97,1.94,1.98,2.02,2.02,1.93,1.95
E0,26/09/2020,12:30,Brighton,Man United,2,3,A,1,1,D,C Kavanagh,18,7,5,3,18,16,7,1,4,2,0,0,4.75,3.75,1.72,5,3.7,1.72,4.7,3.55,1.77,5.1,3.82,1.78,5,3.7,1.73,4.8,3.75,1.73,5.3,3.92,1.81,4.83,3.75,1.75,1.9,1.9,1.88,2.05,1.92,2.07,1.86,1.97,0.75,1.91,1.99,1.93,2.01,1.93,2.03,1.89,1.98,5.25,4,1.61,5.5,4,1.62,5.25,3.85,1.63,5.58,4.36,1.63,5.25,4.2,1.6,5.5,4.1,1.6,5.85,4.6,1.69,5.37,4.15,1.62,1.66,2.2,1.7,2.29,1.82,2.37,1.7,2.19,1,1.87,2.03,1.87,2.07,1.91,2.17,1.83,2.06
E0,26/10/2020,17:30,Brighton,West Brom,1,1,D,1,0,H,J Moss,5,9,3,3,14,7,6,2,2,0,0,0,1.7,4,4.75,1.75,3.9,4.5,1.75,3.6,4.6,1.78,4.08,4.7,1.75,3.8,4.6,1.73,3.8,4.8,1.8,4.15,4.8,1.75,3.93,4.61,1.8,2,1.88,2.05,1.89,2.07,1.83,2,-0.75,2,1.93,2.02,1.92,2.02,1.93,1.98,1.91,1.66,3.9,5,1.72,3.9,4.75,1.67,3.65,5.25,1.67,4.3,5.26,1.67,3.8,5.25,1.65,3.9,5.25,1.72,4.3,5.5,1.67,3.99,5.15,1.9,1.9,1.96,1.96,1.98,2.05,1.9,1.93,-0.75,1.87,2.06,1.87,2.07,1.95,2.09,1.87,2.02
E0,06/11/2020,17:30,Brighton,Burnley,0,0,D,0,0,D,M Dean,19,4,3,1,11,5,5,3,1,0,0,0,1.85,3.5,4.33,1.9,3.5,4.25,1.9,3.5,4.3,1.93,3.51,4.63,1.88,3.4,4.4,1.83,3.5,4.6,1.94,3.65,4.71,1.9,3.48,4.42,2.1,1.72,2.18,1.77,2.2,1.8,2.11,1.74,-0.5,1.9,2.03,1.93,2.01,1.96,2.05,1.89,1.99,1.9,3.4,4.2,1.9,3.5,4.25,1.95,3.35,4.2,1.99,3.42,4.45,1.91,3.3,4.4,2,3.25,4.1,2.69,3.5,4.53,1.98,3.39,4.19,2.2,1.66,2.3,1.7,2.32,1.94,2.19,1.69,-0.5,2,1.93,1.99,1.94,2.04,1.96,1.98,1.9
E0,28/11/2020,12:30,Brighton,Liverpool,1,1,D,0,0,D,S Attwell,11,6,3,2,9,13,4,3,2,1,0,0,5.5,4.2,1.57,5.5,4,1.62,4.9,4.1,1.63,5.42,4.25,1.65,5.5,4,1.62,5.5,4.33,1.57,5.75,4.4,1.68,5.32,4.19,1.62,1.57,2.37,1.58,2.51,1.62,2.51,1.58,2.4,1,1.83,2.07,1.81,2.12,1.92,2.14,1.83,2.04,5,4.2,1.61,4.75,4.25,1.65,4.4,4.1,1.7,4.96,4.29,1.69,5,4,1.67,5,4.1,1.65,5.13,4.42,1.72,4.81,4.19,1.68,1.57,2.37,1.57,2.55,1.61,2.55,1.56,2.44,0.75,2.03,1.87,2.05,1.88,2.07,1.9,2.02,1.86
E0,07/12/2020,20:00,Brighton,Southampton,1,2,A,1,1,D,D Coote,12,10,4,3,12,12,4,3,3,3,0,0,2.45,3.4,2.9,2.55,3.4,2.75,2.65,3.25,2.7,2.56,3.46,2.93,2.5,3.3,2.88,2.5,3.3,2.88,2.65,3.58,2.96,2.52,3.36,2.86,1.9,1.9,1.95,1.95,2.04,1.95,1.94,1.88,0,1.84,2.09,1.83,2.11,1.86,2.11,1.82,2.04,2.4,3.4,2.9,2.45,3.4,2.9,2.5,3.35,2.8,2.51,3.42,3.02,2.4,3.3,3,2.4,3.4,3,2.55,3.48,3.1,2.44,3.38,2.96,1.9,1.9,1.96,1.94,2,2.05,1.9,1.91,-0.25,2.11,1.82,2.15,1.8,2.18,1.84,2.1,1.8
E0,20/12/2020,12:00,Brighton,Sheffield United,1,1,D,0,0,D,P Bankes,21,5,5,3,9,11,14,2,1,5,0,1,1.65,3.75,5.5,1.72,3.7,5,1.7,3.45,5.5,1.69,3.85,5.79,1.7,3.6,5.5,1.7,3.5,5.75,1.75,3.88,5.79,1.69,3.72,5.43,2.2,1.66,2.23,1.72,2.33,1.74,2.22,1.67,-0.75,1.93,2,1.92,2,1.97,2.02,1.9,1.96,1.83,3.4,4.75,1.83,3.4,4.75,1.8,3.4,4.7,1.94,3.41,4.64,1.85,3.4,4.6,1.87,3.4,4.5,1.96,3.73,5,1.88,3.43,4.57,2.2,1.66,2.24,1.71,2.25,1.78,2.17,1.69,-0.5,1.93,2,1.94,1.98,1.95,2.02,1.89,1.98
E0,29/12/2020,18:00,Brighton,Arsenal,0,1,A,0,0,D,M Atkinson,13,11,2,3,11,4,5,4,2,0,0,0,3.25,3.5,2.2,3.2,3.4,2.25,3.3,3.3,2.25,3.27,3.43,2.35,3.2,3.4,2.25,3.3,3.3,2.25,3.35,3.52,2.39,3.22,3.38,2.29,2,1.8,2.09,1.83,2.13,1.85,2.04,1.79,0.25,1.92,2.01,1.91,2.02,1.97,2.02,1.9,1.97,3.6,3.4,2.05,3.6,3.4,2.1,3.5,3.3,2.15,3.85,3.56,2.08,3.75,3.4,2.05,3.7,3.4,2.05,3.94,3.72,2.15,3.64,3.44,2.1,2,1.8,2.07,1.85,2.09,1.94,1.99,1.83,0.5,1.77,2.02,1.86,2.08,1.87,2.16,1.79,2.1
E0,02/01/2021,17:30,Brighton,Wolves,3,3,D,1,3,A,A Madley,13,11,4,4,13,8,5,8,2,1,0,0,2.62,3.25,2.75,2.6,3.2,2.8,2.6,2.9,2.85,2.68,3.28,2.91,2.7,3.1,2.8,2.7,3,2.9,2.76,3.3,2.92,2.66,3.15,2.85,2.5,1.53,2.53,1.58,2.54,1.62,2.43,1.56,0,1.87,2.03,1.88,2.05,1.91,2.06,1.86,2,2.8,3,2.75,2.8,3,2.75,2.8,2.95,2.75,2.87,3.09,2.86,2.8,3,2.75,2.9,2.9,2.75,3.05,3.18,3,2.83,3.02,2.78,2.62,1.5,2.72,1.51,2.75,1.56,2.6,1.5,0,1.97,1.93,1.96,1.96,2,2.06,1.94,1.92
E0,27/01/2021,19:30,Brighton,Fulham,0,0,D,0,0,D,C Pawson,16,10,5,3,10,14,10,0,2,1,0,0,2.05,3.4,3.75,2.1,3.4,3.6,2.05,3.3,3.85,2.07,3.47,3.96,2.05,3.3,3.8,2.05,3.3,3.8,2.14,3.56,4,2.06,3.38,3.82,2.2,1.66,2.25,1.71,2.26,1.77,2.17,1.71,-0.5,2.05,1.75,2.07,1.86,2.12,1.87,2.06,1.82,2,3.4,4,2.05,3.4,3.7,2.05,3.25,4.1,2.14,3.35,3.9,2,3.3,4,2.05,3.2,4,2.14,3.5,4.15,2.05,3.31,3.95,2.3,1.61,2.42,1.63,2.42,1.7,2.32,1.62,-0.5,2.11,1.82,2.13,1.8,2.14,1.87,2.05,1.83
