Div,Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,Referee,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,B365H,B365D,B365A,BWH,BWD,BWA,IWH,IWD,IWA,PSH,PSD,PSA,WHH,WHD,WHA,VCH,VCD,VCA,MaxH,MaxD,MaxA,AvgH,AvgD,AvgA,B365>2.5,B365<2.5,P>2.5,P<2.5,Max>2.5,Max<2.5,Avg>2.5,Avg<2.5,AHh,B365AHH,B365AHA,PAHH,PAHA,MaxAHH,MaxAHA,AvgAHH,AvgAHA,B365CH,B365CD,B365CA,BWCH,BWCD,BWCA,IWCH,IWCD,IWCA,PSCH,PSCD,PSCA,WHCH,WHCD,WHCA,VCCH,VCCD,VCCA,MaxCH,MaxCD,MaxCA,AvgCH,AvgCD,AvgCA,B365C>2.5,B365C<2.5,PC>2.5,PC<2.5,MaxC>2.5,MaxC<2.5,AvgC>2.5,AvgC<2.5,AHCh,B365CAHH,B365CAHA,PCAHH,PCAHA,MaxCAHH,MaxCAHA,AvgCAHH,AvgCAHA
E0,14/01/2021,20:00,Arsenal,Crystal Palace,0,0,D,0,0,D,A Marriner,11,12,4,2,10,11,7,3,1,1,0,0,1.53,4,6.5,1.55,4,6.5,1.55,4.1,6,1.58,4.18,6.55,1.55,4,6.5,1.53,4.1,6.5,1.61,4.25,7,1.55,4.1,6.37,1.9,1.9,1.9,2,1.92,2.05,1.87,1.95,-1,1.97,1.93,2.01,1.92,2.02,1.98,1.95,1.91,1.66,3.75,5.25,1.67,3.8,5.25,1.73,3.75,4.9,1.74,3.94,5.14,1.67,3.7,5.5,1.7,3.8,5,1.76,4.08,5.79,1.7,3.82,5.2,1.9,1.9,1.9,2,1.92,2.05,1.87,1.96,-0.75,1.96,1.97,1.97,1.95,1.97,2.05,1.91,1.97
E0,26/12/2020,15:00,Aston Villa,Crystal Palace,3,0,H,1,0,H,A Taylor,21,13,10,6,18,16,4,4,1,4,1,0,1.9,3.75,3.8,1.95,3.7,3.75,1.95,3.45,3.8,1.95,3.9,3.91,1.95,3.7,3.75,1.91,3.6,4,2.01,3.95,4,1.94,3.75,3.8,1.72,2.1,1.78,2.14,1.82,2.14,1.77,2.06,-0.5,1.95,1.95,1.95,1.97,1.98,1.98,1.94,1.92,1.8,3.75,4.33,1.8,3.8,4.25,1.8,3.65,4.3,1.83,3.93,4.47,1.83,3.8,4.2,1.87,3.8,4,1.87,4.05,4.6,1.82,3.83,4.32,1.72,2.1,1.76,2.17,1.78,2.26,1.73,2.12,-0.5,1.77,2.02,1.83,2.1,1.85,2.14,1.81,2.06
E0,23/11/2020,17:30,Burnley,Crystal Palace,1,0,H,1,0,H,K Friend,10,15,4,5,13,9,4,7,2,0,0,0,2.75,3.1,2.75,2.75,3.1,2.75,2.8,2.8,2.8,2.89,3.06,2.89,2.7,3.1,2.8,2.75,3.1,2.75,2.9,3.24,2.95,2.79,3.06,2.8,2.5,1.53,2.56,1.58,2.58,1.64,2.44,1.56,0,1.97,1.96,1.97,1.96,1.99,1.98,1.93,1.94,2.6,3.1,2.9,2.6,3.1,2.9,2.6,3.1,2.85,2.68,3.16,3.01,2.7,3,2.88,2.63,3.13,2.88,2.8,3.2,3.02,2.65,3.1,2.91,2.2,1.66,2.28,1.69,2.38,1.72,2.26,1.65,0,1.86,2.07,1.85,2.09,1.88,2.11,1.84,2.04
E0,03/10/2020,12:30,Chelsea,Crystal Palace,4,0,H,0,0,D,M Oliver,17,4,6,0,17,13,8,5,2,0,0,0,1.4,4.75,8,1.42,4.75,7.5,1.47,4.5,6.75,1.43,4.86,7.79,1.42,4.6,8,1.4,4.75,8,1.47,5,8,1.43,4.77,7.39,1.61,2.3,1.63,2.41,1.67,2.41,1.62,2.33,-1.25,1.99,1.94,2.01,1.92,2.01,1.98,1.96,1.92,1.5,4.33,6.5,1.5,4.33,6.5,1.6,3.95,5.75,1.56,4.31,6.67,1.52,4.2,6.5,1.53,4.2,6.5,1.6,4.6,7.12,1.53,4.28,6.41,1.72,2.1,1.81,2.11,1.83,2.19,1.76,2.08,-1,1.93,2,1.95,1.97,1.95,2.08,1.9,1.98
E0,24/10/2020,15:00,Fulham,Crystal Palace,1,2,A,0,1,A,G Scott,16,14,3,10,11,11,4,4,0,1,1,0,2.75,3.1,2.7,2.7,3.1,2.8,2.75,2.95,2.75,2.8,3.21,2.86,2.7,3.2,2.75,2.75,3.13,2.75,2.83,3.34,2.86,2.74,3.14,2.77,2.3,1.61,2.36,1.66,2.37,1.71,2.27,1.65,0,1.93,2,1.94,1.99,1.99,2.03,1.92,1.95,2.5,3.2,2.9,2.6,3.2,2.8,2.6,2.9,2.95,2.66,3.14,3.08,2.55,3.2,2.9,2.55,3.13,3,2.68,3.32,3.1,2.58,3.15,2.96,2.3,1.61,2.37,1.66,2.39,1.71,2.27,1.64,0,1.83,2.1,1.83,2.12,1.86,2.14,1.81,2.08
E0,08/02/2021,20:00,Leeds,Crystal Palace,2,0,H,1,0,H,A Marriner,17,8,7,3,7,8,5,3,0,2,0,0,1.8,3.8,4.2,1.85,3.8,4.1,1.85,3.8,3.95,1.88,3.93,4.24,1.85,3.8,4,1.85,3.8,4.1,1.93,4.08,4.3,1.86,3.82,4.06,1.61,2.3,1.67,2.33,1.7,2.35,1.65,2.26,-0.5,1.87,2.03,1.88,2.05,1.89,2.05,1.86,2.01,1.8,3.75,4.33,1.83,3.7,4.25,1.83,3.65,4.3,1.79,3.67,5.13,1.78,3.75,4.5,1.8,3.7,4.5,1.87,4.17,5.13,1.82,3.71,4.48,1.9,1.9,1.93,1.98,2.03,2.17,1.86,1.97,-0.75,2.05,1.88,2.05,1.88,2.1,1.89,2.05,1.84
E0,17/01/2021,19:15,Man City,Crystal Palace,4,0,H,1,0,H,L Mason,13,2,6,0,9,8,11,1,0,0,0,0,1.14,8.5,17,1.17,7.75,14.5,1.18,7.2,15.5,1.18,7.87,18.27,1.17,7.5,17,1.14,8,19,1.19,8.6,21,1.17,7.67,17.03,1.5,2.62,1.49,2.73,1.57,2.75,1.49,2.62,-2,1.9,2,1.89,2.02,1.94,2.06,1.87,2,1.16,8,15,1.17,7.5,16.5,1.18,6.9,16,1.19,7.48,17.24,1.17,7.5,17,1.15,7.5,20,1.2,8.3,20.6,1.18,7.39,17.06,1.57,2.37,1.58,2.5,1.63,2.56,1.56,2.44,-2,1.97,1.93,1.97,1.93,1.99,2.01,1.94,1.93
E0,19/09/2020,17:30,Man United,Crystal Palace,1,3,A,0,1,A,M Atkinson,13,14,4,5,13,10,9,3,2,1,0,0,1.3,5.5,9.5,1.33,5.25,9.25,1.35,5,9,1.3,5.88,9.8,1.3,5.5,10,1.33,5.25,10,1.36,6.1,11,1.32,5.57,9.56,1.66,2.2,1.67,2.29,1.74,2.31,1.66,2.24,-1.5,2,1.9,1.98,1.92,2.08,1.97,1.98,1.89,1.36,5,8,1.36,5,8.5,1.37,5.25,8,1.38,5.18,9.33,1.35,5,9,1.36,5,9.5,1.42,5.4,10,1.37,5.07,8.7,1.66,2.2,1.71,2.27,1.76,2.37,1.68,2.22,-1.25,1.86,2.04,1.9,2.04,1.91,2.08,1.86,2.02
E0,02/02/2021,20:15,Newcastle,Crystal Palace,1,2,A,1,2,A,D England,21,6,5,3,14,11,9,1,1,3,0,0,2.8,3.2,2.6,2.8,3.2,2.6,2.9,3.1,2.6,3.01,3.16,2.68,2.8,3.2,2.6,2.9,3.13,2.6,3.02,3.35,2.72,2.91,3.15,2.63,2.3,1.61,2.3,1.68,2.33,1.71,2.26,1.65,0,2.08,1.85,2.08,1.85,2.11,1.89,2.03,1.84,2.87,3.3,2.5,2.9,3.2,2.55,2.95,3.2,2.5,3.01,3.45,2.49,2.9,3.2,2.55,3,3.25,2.45,3.04,3.45,2.6,2.96,3.27,2.5,2,1.8,2.06,1.85,2.17,1.85,2.06,1.78,0,2.08,1.73,2.16,1.78,2.19,1.83,2.11,1.77
E0,06/12/2020,12:00,West Brom,Crystal Palace,1,5,A,1,1,D,P Tierney,9,18,4,6,10,16,4,6,2,2,1,0,2.87,3.2,2.55,2.8,3.2,2.6,2.85,3.1,2.55,2.98,3.3,2.61,2.88,3.2,2.55,2.88,3.13,2.6,3.02,3.34,2.65,2.9,3.21,2.58,2.2,1.66,2.25,1.71,2.3,1.72,2.21,1.67,0,2.08,1.85,2.1,1.84,2.13,1.88,2.03,1.83,2.87,3.25,2.5,3,3.2,2.45,2.85,3.2,2.5,3.14,3.4,2.44,3,3.2,2.45,3,3.3,2.45,3.14,3.48,2.6,3.01,3.29,2.46,2,1.8,2.03,1.88,2.16,1.89,2.03,1.8,0.25,1.83,2.1,1.85,2.09,1.88,2.14,1.81,2.08
