Div,Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,Referee,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,B365H,B365D,B365A,BWH,BWD,BWA,IWH,IWD,IWA,PSH,PSD,PSA,WHH,WHD,WHA,VCH,VCD,VCA,MaxH,MaxD,MaxA,AvgH,AvgD,AvgA,B365>2.5,B365<2.5,P>2.5,P<2.5,Max>2.5,Max<2.5,Avg>2.5,Avg<2.5,AHh,B365AHH,B365AHA,PAHH,PAHA,MaxAHH,MaxAHA,AvgAHH,AvgAHA,B365CH,B365CD,B365CA,BWCH,BWCD,BWCA,IWCH,IWCD,IWCA,PSCH,PSCD,PSCA,WHCH,WHCD,WHCA,VCCH,VCCD,VCCA,MaxCH,MaxCD,MaxCA,AvgCH,AvgCD,AvgCA,B365C>2.5,B365C<2.5,PC>2.5,PC<2.5,MaxC>2.5,MaxC<2.5,AvgC>2.5,AvgC<2.5,AHCh,B365CAHH,B365CAHA,PCAHH,PCAHA,MaxCAHH,MaxCAHA,AvgCAHH,AvgCAHA
E0,12/09/2020,15:00,Crystal Palace,Southampton,1,0,H,1,0,H,J Moss,5,9,3,5,14,11,7,3,2,1,0,0,3.1,3.25,2.37,3,3.2,2.45,3.15,2.95,2.4,3.32,3.29,2.4,3.2,3.2,2.35,3.2,3.2,2.4,3.36,3.36,2.5,3.18,3.22,2.39,2.2,1.66,2.34,1.68,2.36,1.73,2.24,1.67,0.25,1.85,2.05,1.88,2.05,1.88,2.07,1.84,2.03,3,3.25,2.4,3,3.3,2.4,3.05,2.9,2.45,3.09,3.27,2.54,3.1,3.1,2.45,3.1,3.25,2.45,3.25,3.33,2.55,3.08,3.22,2.47,2.2,1.66,2.26,1.72,2.27,1.78,2.18,1.7,0.25,1.78,2.13,1.79,2.17,1.85,2.18,1.79,2.12
E0,26/09/2020,15:00,Crystal Palace,Everton,1,2,A,1,2,A,K Friend,8,10,1,5,16,15,7,6,3,1,0,0,3.75,3.25,2.1,3.8,3.3,2.05,3.65,3.1,2.15,3.72,3.44,2.17,3.7,3.25,2.1,3.75,3.25,2.1,3.9,3.44,2.2,3.69,3.32,2.12,2.1,1.72,2.18,1.76,2.26,1.76,2.16,1.71,0.25,2.07,1.83,2.08,1.86,2.12,1.87,2.07,1.82,3.5,3.3,2.15,3.5,3.3,2.15,3.4,3.05,2.25,3.58,3.34,2.27,3.6,3.25,2.15,3.4,3.3,2.2,3.86,3.5,2.28,3.49,3.31,2.2,2,1.8,2.05,1.88,2.21,1.94,2.01,1.82,0.25,1.99,1.91,2,1.93,2.14,1.95,1.99,1.89
E0,18/10/2020,14:00,Crystal Palace,Brighton,1,1,D,1,0,H,S Attwell,1,20,1,3,13,12,2,5,3,2,0,1,2.62,3.3,2.7,2.6,3.3,2.75,2.65,3,2.8,2.73,3.34,2.83,2.62,3.25,2.75,2.7,3.13,2.75,2.8,3.42,2.88,2.68,3.25,2.76,2.2,1.66,2.23,1.74,2.3,1.76,2.19,1.69,0,1.91,1.99,1.93,2,1.93,2.03,1.9,1.97,3,3.25,2.4,3,3.2,2.5,3.05,3,2.5,3.27,3.25,2.47,3.1,3.1,2.45,3.1,3.13,2.45,3.29,3.44,2.52,3.1,3.2,2.45,2.2,1.66,2.26,1.72,2.29,1.81,2.18,1.69,0.25,1.82,2.08,1.85,2.09,1.85,2.14,1.81,2.09
E0,07/11/2020,15:00,Crystal Palace,Leeds,4,1,H,3,1,H,C Kavanagh,10,9,6,3,9,1,3,6,0,2,0,0,2.87,3.4,2.45,2.9,3.4,2.45,2.9,3.15,2.5,2.99,3.48,2.52,2.9,3.3,2.5,3,3.3,2.45,3.01,3.49,2.58,2.92,3.37,2.47,1.9,1.9,1.97,1.95,2.05,1.96,1.94,1.88,0,2.13,1.81,2.15,1.81,2.15,1.83,2.11,1.78,2.8,3.5,2.45,2.8,3.4,2.5,2.85,3.2,2.5,2.89,3.57,2.54,2.8,3.4,2.5,2.8,3.4,2.5,3.04,3.61,2.6,2.84,3.43,2.49,1.8,2,1.86,2.07,1.91,2.15,1.83,1.99,0,2.06,1.87,2.1,1.85,2.15,1.87,2.07,1.82
E0,27/11/2020,20:00,Crystal Palace,Newcastle,0,2,A,0,0,D,G Scott,12,14,3,7,9,10,7,3,2,2,0,0,2.05,3.25,3.75,2.15,3.2,3.7,2.15,3.2,3.55,2.18,3.3,3.84,2.15,3.1,3.75,2.15,3.13,3.8,2.23,3.3,3.9,2.15,3.21,3.74,2.37,1.57,2.42,1.62,2.45,1.66,2.34,1.61,-0.25,1.84,2.06,1.85,2.08,1.88,2.09,1.83,2.04,2.1,3.2,3.75,2.1,3.2,3.8,2.2,3.2,3.5,2.18,3.22,3.96,2.15,3.1,3.8,2.15,3.2,3.8,2.22,3.29,3.96,2.16,3.18,3.77,2.3,1.61,2.35,1.66,2.44,1.7,2.33,1.61,-0.25,1.82,2.08,1.85,2.09,1.86,2.12,1.83,2.05
E0,13/12/2020,14:15,Crystal Palace,Tottenham,1,1,D,0,1,A,K Friend,16,14,5,6,15,11,4,7,1,1,0,0,4.5,3.9,1.72,4.75,3.7,1.75,4.6,3.5,1.77,4.92,3.83,1.79,4.75,3.7,1.75,4.8,3.7,1.75,4.92,3.94,1.82,4.71,3.75,1.76,1.9,1.9,1.96,1.94,1.97,1.99,1.9,1.91,0.75,1.9,2.03,1.9,2.03,1.94,2.03,1.88,1.98,4,3.8,1.85,4.1,3.8,1.83,4,3.7,1.85,4.33,3.93,1.85,4.2,3.7,1.83,4.5,3.7,1.8,4.6,3.93,1.91,4.21,3.77,1.85,1.8,2,1.86,2.05,1.91,2.11,1.84,1.97,0.5,2.07,1.86,2.08,1.85,2.11,1.88,2.03,1.84
E0,19/12/2020,12:30,Crystal Palace,Liverpool,0,7,A,0,3,A,J Moss,5,14,3,8,5,11,5,4,1,0,0,0,6.5,4.33,1.5,6,4.6,1.5,6,4.2,1.53,6.52,4.53,1.53,6.5,4.4,1.5,6.5,4.33,1.5,6.52,4.74,1.57,6.2,4.45,1.52,1.61,2.3,1.64,2.38,1.67,2.4,1.62,2.32,1,2.05,1.88,2.06,1.87,2.06,1.89,2.02,1.85,5.25,4,1.61,5.5,4.1,1.6,5,4,1.65,5.54,4.2,1.65,5.5,3.9,1.63,5.25,4,1.65,5.74,4.31,1.69,5.27,4.07,1.65,1.72,2.1,1.71,2.25,1.75,2.26,1.69,2.19,0.75,2.08,1.85,2.11,1.83,2.13,1.88,2.06,1.82
E0,28/12/2020,15:00,Crystal Palace,Leicester,1,1,D,0,0,D,G Scott,4,17,1,3,10,7,2,5,0,1,0,0,3.75,3.5,2,3.8,3.6,1.95,3.7,3.5,2,3.95,3.58,2.04,3.9,3.4,2,3.8,3.5,2,3.96,3.66,2.08,3.81,3.52,2.01,1.9,1.9,1.93,1.98,1.94,2,1.88,1.94,0.5,1.89,2.04,1.89,2.04,1.93,2.07,1.86,2.01,3.3,3.4,2.2,3.3,3.4,2.2,3.35,3.3,2.2,3.4,3.49,2.27,3.4,3.3,2.2,3.4,3.3,2.2,3.58,3.59,2.31,3.35,3.37,2.23,2,1.8,2.09,1.81,2.14,1.83,2.07,1.76,0.25,1.97,1.96,1.97,1.95,1.98,1.99,1.95,1.93
E0,02/01/2021,15:00,Crystal Palace,Sheffield United,2,0,H,2,0,H,S Attwell,9,7,4,2,8,18,3,6,1,3,0,0,1.95,3.5,3.9,1.95,3.5,3.9,1.95,3.3,4.1,2.02,3.45,3.84,2,3.3,4,2,3.25,4.1,2.09,3.55,4.1,2.01,3.4,3.93,2.3,1.61,2.26,1.65,2.34,1.7,2.25,1.65,-0.5,2.03,1.87,2.02,1.84,2.07,1.91,2,1.85,2.05,3.25,3.9,2.05,3.3,3.8,2.05,3.2,3.95,2.14,3.28,4,2.05,3.2,4,2.1,3.25,3.75,2.15,3.47,4.23,2.08,3.26,3.9,2.37,1.57,2.45,1.61,2.45,1.67,2.36,1.6,-0.5,2.1,1.8,2.12,1.81,2.17,1.86,2.08,1.8
E0,26/01/2021,18:00,Crystal Palace,West Ham,2,3,A,1,2,A,S Attwell,6,17,3,7,9,8,3,4,0,0,0,0,3.1,3.25,2.37,3.1,3.25,2.4,3.15,3.2,2.35,3.21,3.32,2.44,3.2,3.3,2.3,3.13,3.2,2.4,3.27,3.4,2.5,3.16,3.27,2.39,2.2,1.66,2.25,1.71,2.29,1.75,2.2,1.69,0.25,1.86,2.07,1.85,2.08,1.89,2.09,1.84,2.05,3.5,3.3,2.15,3.4,3.2,2.25,3.55,3.3,2.15,3.64,3.38,2.21,3.5,3.3,2.15,3.5,3.25,2.2,3.81,3.54,2.38,3.53,3.33,2.18,2.1,1.72,2.2,1.74,2.27,1.83,2.11,1.75,0.25,2.04,1.89,2.03,1.89,2.06,2.01,2.01,1.87
E0,30/01/2021,15:00,Crystal Palace,Wolves,1,0,H,0,0,D,S Hooper,11,6,2,4,7,10,1,6,1,2,0,0,2.87,3.2,2.55,2.9,3.1,2.6,2.95,3.05,2.6,3.05,3.15,2.65,2.88,3.1,2.62,3,3,2.6,3.09,3.26,2.72,2.96,3.1,2.61,2.5,1.53,2.59,1.56,2.59,1.63,2.46,1.56,0,2.1,1.8,2.11,1.83,2.14,1.84,2.06,1.81,2.9,3.1,2.55,2.9,3.1,2.6,2.95,2.85,2.6,2.99,3.18,2.68,2.9,3.1,2.6,2.9,3.1,2.6,3.05,3.24,2.79,2.94,3.09,2.63,2.5,1.53,2.44,1.62,2.55,1.65,2.4,1.58,0,2.08,1.85,2.08,1.86,2.11,1.88,2.04,1.83
E0,13/02/2021,15:00,Crystal Palace,Burnley,0,3,A,0,2,A,M Oliver,13,16,3,4,15,14,7,4,0,0,0,0,2.37,3.1,3.2,2.3,3.2,3.3,2.4,3.05,3.2,2.54,3.18,3.19,2.4,3.1,3.2,2.38,3.1,3.25,2.54,3.32,3.35,2.42,3.11,3.22,2.5,1.53,2.52,1.58,2.52,1.67,2.4,1.58,-0.25,2.1,1.83,2.15,1.81,2.15,1.86,2.07,1.82,2.8,3.1,2.7,2.85,3.1,2.65,2.85,3.1,2.65,2.91,3.25,2.7,2.88,3.1,2.62,2.8,3.13,2.7,2.96,3.26,3.1,2.84,3.14,2.69,2.2,1.66,2.25,1.71,2.71,1.77,2.26,1.65,0,2.03,1.9,2.04,1.88,2.06,2.13,1.99,1.88
