Div,Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,Referee,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,B365H,B365D,B365A,BWH,BWD,BWA,IWH,IWD,IWA,PSH,PSD,PSA,WHH,WHD,WHA,VCH,VCD,VCA,MaxH,MaxD,MaxA,AvgH,AvgD,AvgA,B365>2.5,B365<2.5,P>2.5,P<2.5,Max>2.5,Max<2.5,Avg>2.5,Avg<2.5,AHh,B365AHH,B365AHA,PAHH,PAHA,MaxAHH,MaxAHA,AvgAHH,AvgAHA,B365CH,B365CD,B365CA,BWCH,BWCD,BWCA,IWCH,IWCD,IWCA,PSCH,PSCD,PSCA,WHCH,WHCD,WHCA,VCCH,VCCD,VCCA,MaxCH,MaxCD,MaxCA,AvgCH,AvgCD,AvgCA,B365C>2.5,B365C<2.5,PC>2.5,PC<2.5,MaxC>2.5,MaxC<2.5,AvgC>2.5,AvgC<2.5,AHCh,B365CAHH,B365CAHA,PCAHH,PCAHA,MaxCAHH,MaxCAHA,AvgCAHH,AvgCAHA
E0,19/09/2020,12:30,Everton,West Brom,5,2,H,2,1,H,M Dean,17,6,7,4,9,11,11,1,1,0,0,1,1.5,4.2,6.5,1.55,4.2,6,1.55,4,6,1.55,4.33,6.46,1.52,4.2,6.5,1.5,4.2,7,1.59,4.5,7,1.54,4.25,6.3,1.87,2.03,1.87,2.05,1.9,2.13,1.81,2.03,-1,1.91,1.99,1.97,1.96,1.99,2.04,1.91,1.97,1.57,4,6,1.57,4,6,1.6,3.8,6.25,1.61,4.12,6.41,1.55,3.9,6.5,1.6,3.9,6.5,1.66,4.23,6.85,1.59,4.03,6.15,1.9,1.9,2.03,1.89,2.07,1.94,1.98,1.85,-1,2.09,1.81,2.14,1.82,2.15,1.9,2.06,1.83
E0,03/10/2020,15:00,Everton,Brighton,4,2,H,2,1,H,S Hooper,11,11,6,3,13,14,3,10,0,1,0,0,1.72,3.75,4.8,1.75,3.6,5,1.73,3.75,5,1.78,3.82,4.82,1.75,3.6,5,1.73,3.8,4.8,1.81,3.85,5.1,1.76,3.73,4.79,1.8,2,1.83,2.09,1.88,2.12,1.83,2,-0.75,2,1.93,2.03,1.89,2.06,1.96,1.99,1.89,1.75,3.75,4.75,1.78,3.7,4.5,1.75,3.75,4.8,1.81,3.86,4.78,1.75,3.6,5,1.8,3.75,4.5,1.83,3.9,5.19,1.79,3.76,4.61,1.72,2.1,1.74,2.23,1.77,2.26,1.71,2.15,-0.75,2.07,1.86,2.07,1.88,2.09,1.97,2.03,1.86
E0,17/10/2020,12:30,Everton,Liverpool,2,2,D,1,1,D,M Oliver,11,22,5,8,15,9,2,5,3,2,1,0,3.75,4.2,1.83,3.8,4.1,1.83,3.9,3.8,1.83,4.04,4.2,1.87,4,3.9,1.83,3.75,4,1.87,4.15,4.21,1.91,3.91,4.08,1.85,1.53,2.5,1.55,2.63,1.6,2.65,1.53,2.53,0.75,1.75,2.05,1.83,2.1,1.85,2.14,1.8,2.08,4.2,4.2,1.72,4.1,4.1,1.78,3.85,4,1.85,4.22,4.24,1.83,4.2,4,1.78,3.9,4.2,1.8,4.57,4.41,1.85,4.12,4.17,1.79,1.5,2.62,1.53,2.68,1.54,2.84,1.49,2.63,0.75,1.86,2.04,1.88,2.05,1.9,2.07,1.87,2.02
E0,07/11/2020,12:30,Everton,Man United,1,3,A,1,2,A,P Tierney,7,13,1,5,12,19,5,2,4,2,0,0,2.9,3.5,2.37,2.85,3.5,2.4,2.9,3.3,2.4,2.98,3.65,2.44,2.9,3.5,2.4,2.9,3.5,2.38,3.04,3.65,2.51,2.91,3.52,2.42,1.72,2.1,1.8,2.13,1.84,2.18,1.76,2.08,0.25,1.84,2.09,1.83,2.12,1.84,2.13,1.81,2.08,3.25,3.6,2.15,3.1,3.5,2.25,3.05,3.6,2.3,3.33,3.68,2.23,3.1,3.5,2.25,3.1,3.5,2.25,3.55,3.86,2.38,3.18,3.61,2.22,1.72,2.1,1.78,2.16,1.8,2.32,1.72,2.15,0.25,2,1.93,2,1.93,2.04,1.99,1.96,1.92
E0,28/11/2020,17:30,Everton,Leeds,0,1,A,0,0,D,C Kavanagh,15,23,8,7,8,14,4,2,1,2,0,0,1.95,3.8,3.6,1.95,3.7,3.7,2,3.75,3.4,2.07,3.76,3.64,2.05,3.6,3.5,2,3.7,3.6,2.1,3.99,3.77,2.02,3.72,3.57,1.61,2.3,1.63,2.4,1.67,2.4,1.62,2.31,-0.5,2.06,1.84,2.07,1.86,2.08,1.91,2.02,1.85,2.2,3.75,3,2.3,3.6,2.95,2.25,3.5,3.05,2.35,3.66,3.09,2.25,3.6,3.1,2.3,3.6,3,2.38,3.84,3.23,2.29,3.64,3.01,1.61,2.3,1.65,2.37,1.65,2.5,1.59,2.38,-0.25,2.03,1.87,2.04,1.89,2.06,1.91,2.01,1.87
E0,12/12/2020,20:00,Everton,Chelsea,1,0,H,1,0,H,J Moss,9,10,4,3,10,11,6,6,2,3,0,0,4.33,4.2,1.7,4.25,4.1,1.75,4.4,3.8,1.73,4.52,4.28,1.76,4.33,4,1.75,4.5,4,1.73,4.57,4.4,1.8,4.36,4.12,1.75,1.61,2.3,1.64,2.39,1.67,2.45,1.6,2.34,0.75,1.95,1.98,1.94,1.98,1.96,1.98,1.91,1.95,4.5,4.33,1.66,4.5,4.33,1.67,4.7,4,1.67,4.99,4.19,1.71,4.75,4.2,1.67,5,4.1,1.65,5.02,4.43,1.72,4.77,4.22,1.68,1.72,2.1,1.75,2.18,1.8,2.37,1.67,2.22,0.75,2.05,1.88,2.03,1.9,2.1,1.91,2.03,1.85
E0,19/12/2020,17:30,Everton,Arsenal,2,1,H,2,1,H,A Marriner,9,13,2,2,9,9,4,3,1,3,0,0,2.45,3.5,2.8,2.25,3.5,3.1,2.4,3.4,2.9,2.5,3.47,2.99,2.45,3.4,2.9,2.38,3.4,3,2.53,3.6,3.1,2.42,3.44,2.93,1.8,2,1.9,2.01,1.91,2.05,1.84,1.98,-0.25,2.11,1.82,2.15,1.8,2.15,1.86,2.08,1.8,2.62,3.4,2.62,2.65,3.4,2.65,2.55,3.3,2.75,2.75,3.45,2.72,2.62,3.5,2.62,2.63,3.3,2.7,2.79,3.66,2.78,2.66,3.39,2.68,1.9,1.9,1.99,1.91,2,2.05,1.91,1.92,0,1.98,1.95,1.97,1.95,2.01,1.97,1.93,1.93
E0,01/01/2021,17:30,Everton,West Ham,0,1,A,0,0,D,K Friend,10,11,2,5,9,7,5,4,2,0,0,0,2.1,3.5,3.5,2.15,3.5,3.3,2.15,3.35,3.45,2.19,3.52,3.55,2.15,3.4,3.5,2.1,3.4,3.6,2.22,3.58,3.81,2.15,3.44,3.5,1.9,1.9,2.02,1.89,2.05,1.93,1.96,1.86,-0.25,1.87,2.03,1.88,2.04,1.9,2.16,1.85,2.03,2.2,3.5,3.25,2.2,3.4,3.3,2.25,3.35,3.2,2.3,3.52,3.3,2.2,3.3,3.4,2.25,3.4,3.25,2.32,3.6,3.81,2.24,3.45,3.29,1.97,1.93,2,1.91,2.02,2.05,1.93,1.9,-0.25,1.96,1.94,1.98,1.94,2,2.16,1.93,1.95
E0,27/01/2021,20:15,Everton,Leicester,1,1,D,1,0,H,M Dean,8,19,2,6,12,10,5,11,1,1,0,0,2.8,3.3,2.55,2.85,3.3,2.55,2.8,3.2,2.6,2.92,3.26,2.68,2.8,3.2,2.6,2.8,3.25,2.6,2.94,3.4,2.71,2.83,3.25,2.61,2,1.8,2.11,1.8,2.13,1.88,2.03,1.8,0,2.04,1.89,2.05,1.88,2.06,1.93,2.01,1.86,3,3.25,2.4,3,3.3,2.4,3.15,3.25,2.35,3.38,3.34,2.34,3.1,3.2,2.4,3.1,3.25,2.38,3.39,3.36,2.5,3.18,3.28,2.37,2,1.8,2.1,1.81,2.11,1.92,2.03,1.8,0.25,1.89,2.04,1.93,2,1.94,2.13,1.86,2.02
E0,30/01/2021,12:30,Everton,Newcastle,0,2,A,0,0,D,S Attwell,11,13,3,3,13,6,7,12,3,4,0,0,1.55,4,6.5,1.55,4,6.5,1.6,3.9,6,1.61,4.03,6.49,1.57,3.9,6.5,1.57,3.9,6.5,1.63,4.18,6.7,1.59,3.95,6.27,2,1.8,2.05,1.86,2.06,1.9,1.99,1.84,-1,2.07,1.83,2.1,1.84,2.1,1.91,2.05,1.83,1.55,4,6.5,1.53,4.1,6.5,1.6,3.9,5.75,1.56,4.17,6.83,1.57,4,6,1.55,4.1,6,1.61,4.33,7.03,1.57,4.11,6.22,1.8,2,1.83,2.07,1.97,2.15,1.82,2.01,-1,1.99,1.94,1.99,1.93,2.07,1.96,1.98,1.89
E0,14/02/2021,19:00,Everton,Fulham,0,2,A,0,0,D,A Madley,7,12,2,3,7,16,5,4,1,1,0,0,1.85,3.6,4.2,1.9,3.5,4.2,1.95,3.5,4,1.96,3.61,4.24,1.91,3.5,4.2,1.91,3.5,4.2,1.98,3.74,4.24,1.93,3.53,4.09,2,1.8,2.08,1.84,2.09,1.93,1.99,1.84,-0.5,1.97,1.96,1.96,1.96,1.99,1.98,1.94,1.94,2,3.4,3.9,2,3.4,3.9,2.05,3.25,3.75,2.03,3.47,4.13,2,3.3,4,2.05,3.3,3.9,2.1,3.5,4.32,2.04,3.37,3.92,2.2,1.66,2.22,1.73,2.25,1.85,2.13,1.72,-0.5,2.05,1.88,2.03,1.9,2.09,1.9,2.04,1.84
