Div,Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,Referee,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,B365H,B365D,B365A,BWH,BWD,BWA,IWH,IWD,IWA,PSH,PSD,PSA,WHH,WHD,WHA,VCH,VCD,VCA,MaxH,MaxD,MaxA,AvgH,AvgD,AvgA,B365>2.5,B365<2.5,P>2.5,P<2.5,Max>2.5,Max<2.5,Avg>2.5,Avg<2.5,AHh,B365AHH,B365AHA,PAHH,PAHA,MaxAHH,MaxAHA,AvgAHH,AvgAHA,B365CH,B365CD,B365CA,BWCH,BWCD,BWCA,IWCH,IWCD,IWCA,PSCH,PSCD,PSCA,WHCH,WHCD,WHCA,VCCH,VCCD,VCCA,MaxCH,MaxCD,MaxCA,AvgCH,AvgCD,AvgCA,B365C>2.5,B365C<2.5,PC>2.5,PC<2.5,MaxC>2.5,MaxC<2.5,AvgC>2.5,AvgC<2.5,AHCh,B365CAHH,B365CAHA,PCAHH,PCAHA,MaxCAHH,MaxCAHA,AvgCAHH,AvgCAHA
E0,14/02/2021,16:30,Arsenal,Leeds,4,2,H,3,0,H,S Attwell,13,9,5,5,8,17,4,5,0,2,0,0,1.83,3.8,4,1.85,3.8,4,1.9,3.8,3.85,1.93,3.79,4.1,1.88,3.7,4,1.87,3.8,4,1.96,3.92,4.11,1.89,3.77,3.98,1.57,2.37,1.62,2.44,1.65,2.46,1.59,2.38,-0.5,1.92,2.01,1.93,1.98,1.94,2.04,1.9,1.98,1.8,3.8,4.33,1.8,3.8,4.33,1.8,3.65,4.1,1.85,3.9,4.42,1.8,3.75,4.33,1.8,3.9,4.2,1.86,4.1,4.74,1.81,3.87,4.23,1.57,2.37,1.62,2.43,2.02,2.5,1.63,2.29,-0.75,2.1,1.83,2.08,1.83,2.12,1.98,2.04,1.85
E0,23/10/2020,20:00,Aston Villa,Leeds,0,3,A,0,0,D,P Tierney,12,27,4,9,14,17,6,5,2,2,0,0,2.05,3.75,3.3,2.15,3.6,3.25,2.1,3.5,3.3,2.13,3.83,3.44,2.1,3.7,3.3,2.1,3.7,3.3,2.16,3.9,3.47,2.11,3.75,3.33,1.57,2.37,1.62,2.45,1.65,2.47,1.61,2.36,-0.25,1.86,2.07,1.86,2.08,1.88,2.09,1.84,2.05,1.85,4,3.8,1.9,3.9,3.75,1.9,3.7,3.75,1.93,4.12,3.88,1.95,3.9,3.6,1.87,3.9,3.9,2.01,4.15,3.92,1.91,3.99,3.73,1.5,2.62,1.51,2.72,1.58,2.72,1.52,2.53,-0.5,1.9,2.03,1.93,2.01,1.95,2.05,1.9,1.98
E0,05/12/2020,20:00,Chelsea,Leeds,3,1,H,1,1,D,K Friend,23,8,11,3,12,9,8,4,0,2,0,0,1.5,4.5,6,1.53,4.4,5.75,1.55,4.4,5.5,1.56,4.54,6.19,1.53,4.33,6,1.5,4.6,6,1.58,4.74,6.2,1.54,4.5,5.82,1.5,2.62,1.49,2.76,1.57,2.77,1.5,2.59,-1,1.89,2.04,1.91,2.02,1.92,2.08,1.86,2,1.44,5,6,1.45,5,6.25,1.47,4.7,6.25,1.48,5.15,6.34,1.44,4.8,6.5,1.45,4.8,6.5,1.5,5.31,6.65,1.47,4.92,6.25,1.44,2.75,1.46,2.85,1.47,2.96,1.44,2.79,-1.25,2.07,1.86,2.06,1.87,2.08,1.97,2.01,1.87
E0,07/11/2020,15:00,Crystal Palace,Leeds,4,1,H,3,1,H,C Kavanagh,10,9,6,3,9,1,3,6,0,2,0,0,2.87,3.4,2.45,2.9,3.4,2.45,2.9,3.15,2.5,2.99,3.48,2.52,2.9,3.3,2.5,3,3.3,2.45,3.01,3.49,2.58,2.92,3.37,2.47,1.9,1.9,1.97,1.95,2.05,1.96,1.94,1.88,0,2.13,1.81,2.15,1.81,2.15,1.83,2.11,1.78,2.8,3.5,2.45,2.8,3.4,2.5,2.85,3.2,2.5,2.89,3.57,2.54,2.8,3.4,2.5,2.8,3.4,2.5,3.04,3.61,2.6,2.84,3.43,2.49,1.8,2,1.86,2.07,1.91,2.15,1.83,1.99,0,2.06,1.87,2.1,1.85,2.15,1.87,2.07,1.82
E0,28/11/2020,17:30,Everton,Leeds,0,1,A,0,0,D,C Kavanagh,15,23,8,7,8,14,4,2,1,2,0,0,1.95,3.8,3.6,1.95,3.7,3.7,2,3.75,3.4,2.07,3.76,3.64,2.05,3.6,3.5,2,3.7,3.6,2.1,3.99,3.77,2.02,3.72,3.57,1.61,2.3,1.63,2.4,1.67,2.4,1.62,2.31,-0.5,2.06,1.84,2.07,1.86,2.08,1.91,2.02,1.85,2.2,3.75,3,2.3,3.6,2.95,2.25,3.5,3.05,2.35,3.66,3.09,2.25,3.6,3.1,2.3,3.6,3,2.38,3.84,3.23,2.29,3.64,3.01,1.61,2.3,1.65,2.37,1.65,2.5,1.59,2.38,-0.25,2.03,1.87,2.04,1.89,2.06,1.91,2.01,1.87
E0,31/01/2021,14:00,Leicester,Leeds,1,3,A,1,1,D,C Kavanagh,18,8,8,7,17,16,6,4,0,3,0,0,1.8,4,4.2,1.83,4,3.9,1.8,3.95,4.1,1.81,4.18,4.27,1.85,3.8,4,1.8,3.9,4.2,1.88,4.2,4.3,1.82,4.02,4.11,1.57,2.37,1.62,2.44,1.71,2.45,1.61,2.34,-0.75,2.04,1.86,2.05,1.88,2.12,1.89,2.04,1.85,1.8,3.8,4.2,1.8,3.9,4.2,1.83,3.75,4.3,1.87,3.93,4.28,1.83,3.75,4.2,1.8,3.75,4.33,1.92,4.2,4.59,1.84,3.83,4.2,1.72,2.1,1.73,2.22,1.81,2.45,1.71,2.15,-0.5,1.87,2.06,1.87,2.07,1.88,2.13,1.84,2.04
E0,12/09/2020,17:30,Liverpool,Leeds,4,3,H,3,2,H,M Oliver,22,6,6,3,9,6,9,0,1,0,0,0,1.28,6,9.5,1.26,6.25,10.5,1.35,5,8.5,1.31,6.25,9.92,1.27,6,10,1.3,5.75,10.5,1.35,6.5,10.75,1.3,5.96,9.68,1.53,2.5,1.56,2.6,1.56,2.68,1.52,2.53,-1.5,1.95,1.95,1.97,1.95,2,2.08,1.9,1.97,1.25,6,11,1.25,6.25,11,1.3,6,9,1.28,6.34,11.38,1.25,6,12,1.29,6,11.5,1.3,6.75,12.27,1.28,6.16,10.63,1.5,2.62,1.51,2.76,1.53,2.82,1.5,2.62,-1.5,1.85,2.05,1.85,2.08,1.9,2.16,1.84,2.04
E0,20/12/2020,16:30,Man United,Leeds,6,2,H,4,1,H,A Taylor,26,17,14,3,6,6,11,13,1,0,0,0,1.66,4.33,4.5,1.7,4.25,4.4,1.73,3.95,4.3,1.73,4.31,4.66,1.7,4.2,4.5,1.67,4.2,4.75,1.77,4.42,4.75,1.71,4.23,4.49,1.5,2.62,1.49,2.74,1.55,2.75,1.5,2.6,-0.75,1.92,2.01,1.93,2,1.93,2.02,1.89,1.98,1.7,4.2,4.33,1.72,4.1,4.4,1.7,4.1,4.5,1.74,4.44,4.45,1.7,4.2,4.5,1.7,4.33,4.4,1.77,4.55,4.73,1.72,4.34,4.38,1.36,3.2,1.44,2.94,1.44,3.23,1.37,3.07,-0.75,1.91,2.02,1.93,2,1.93,2.04,1.89,1.98
E0,26/01/2021,18:00,Newcastle,Leeds,1,2,A,0,1,A,A Taylor,22,9,5,2,10,15,9,5,1,3,0,0,3.9,3.8,1.85,3.75,3.8,1.91,3.8,3.8,1.9,3.92,3.89,1.95,3.7,3.7,1.95,3.9,3.75,1.9,3.97,4,2,3.83,3.83,1.93,1.66,2.2,1.69,2.27,1.73,2.33,1.67,2.23,0.5,1.99,1.94,1.97,1.95,2.01,2.01,1.95,1.93,3.9,4,1.83,3.9,4,1.83,4,3.85,1.83,4.2,4.01,1.86,3.9,3.9,1.85,4.1,3.8,1.83,4.3,4.1,1.91,4.07,3.94,1.84,1.72,2.1,1.74,2.21,1.74,2.41,1.66,2.26,0.5,2.06,1.87,2.07,1.86,2.1,1.9,2.03,1.84
E0,27/09/2020,12:00,Sheffield United,Leeds,0,1,A,0,0,D,P Tierney,14,17,4,9,18,4,5,7,2,1,0,0,2.7,3.3,2.62,2.7,3.4,2.6,2.75,3.15,2.6,2.83,3.5,2.63,2.7,3.3,2.62,2.75,3.3,2.6,2.83,3.5,2.75,2.72,3.37,2.63,1.9,1.9,2.01,1.91,2.1,1.91,2,1.83,0,2.01,1.89,2.04,1.89,2.05,1.94,1.98,1.89,2.8,3.4,2.5,2.7,3.4,2.6,2.95,3.05,2.5,3.09,3.44,2.47,3,3.3,2.4,2.9,3.25,2.5,3.1,3.49,2.62,2.95,3.34,2.47,2,1.8,2.11,1.81,2.16,1.93,2.05,1.79,0.25,1.81,2.09,1.83,2.12,1.85,2.2,1.79,2.11
