Div,Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,Referee,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,B365H,B365D,B365A,BWH,BWD,BWA,IWH,IWD,IWA,PSH,PSD,PSA,WHH,WHD,WHA,VCH,VCD,VCA,MaxH,MaxD,MaxA,AvgH,AvgD,AvgA,B365>2.5,B365<2.5,P>2.5,P<2.5,Max>2.5,Max<2.5,Avg>2.5,Avg<2.5,AHh,B365AHH,B365AHA,PAHH,PAHA,MaxAHH,MaxAHA,AvgAHH,AvgAHA,B365CH,B365CD,B365CA,BWCH,BWCD,BWCA,IWCH,IWCD,IWCA,PSCH,PSCD,PSCA,WHCH,WHCD,WHCA,VCCH,VCCD,VCCA,MaxCH,MaxCD,MaxCA,AvgCH,AvgCD,AvgCA,B365C>2.5,B365C<2.5,PC>2.5,PC<2.5,MaxC>2.5,MaxC<2.5,AvgC>2.5,AvgC<2.5,AHCh,B365CAHH,B365CAHA,PCAHH,PCAHA,MaxCAHH,MaxCAHA,AvgCAHH,AvgCAHA
E0,03/02/2021,18:00,Burnley,Man City,0,2,A,0,2,A,M Atkinson,2,17,0,6,8,5,1,3,2,1,0,0,13,7,1.2,13.5,6.5,1.22,14,6.25,1.22,14.8,6.57,1.23,15,6.5,1.2,13,7,1.2,17.5,7.1,1.24,14.33,6.54,1.22,1.66,2.2,1.68,2.28,1.68,2.4,1.63,2.29,1.75,2.05,1.88,2.05,1.86,2.06,1.9,2.02,1.85,16,7.5,1.16,15,6.75,1.2,14,6.5,1.22,17.18,6.69,1.22,17,6.5,1.2,13,7,1.18,19.5,7.89,1.23,15.35,6.88,1.2,1.57,2.37,1.59,2.47,1.61,2.55,1.56,2.45,2,1.75,2.05,1.81,2.1,1.94,2.17,1.81,2.05
E0,03/01/2021,16:30,Chelsea,Man City,1,3,A,0,3,A,A Taylor,9,18,2,6,11,10,5,3,3,1,0,0,3,3.7,2.2,3,3.7,2.25,2.95,3.4,2.3,2.95,3.67,2.4,3.1,3.5,2.25,3.1,3.7,2.2,3.2,3.8,2.36,3.01,3.66,2.24,1.72,2.1,1.71,2.22,1.77,2.25,1.72,2.12,0.25,1.87,2.03,1.83,2.09,1.96,2.05,1.89,1.96,3.4,3.6,2.05,3.4,3.6,2.1,3.3,3.5,2.15,3.5,3.59,2.18,3.4,3.5,2.15,3.4,3.6,2.1,3.55,3.78,2.21,3.37,3.6,2.14,1.72,2.1,1.74,2.21,1.74,2.37,1.68,2.2,0.25,2.03,1.87,2.05,1.88,2.08,1.93,2.01,1.87
E0,03/10/2020,17:30,Leeds,Man City,1,1,D,0,1,A,M Dean,12,23,7,2,11,12,7,10,2,1,0,0,7.5,5.25,1.36,7,5.25,1.4,7,5,1.4,7.98,5.31,1.37,8,5,1.38,7.5,5.5,1.36,8.4,5.7,1.42,7.45,5.34,1.38,1.36,3.2,1.39,3.17,1.4,3.4,1.37,3.11,1.5,1.88,2.05,1.88,2.03,1.93,2.08,1.87,2.01,8,7.5,1.25,8,6.5,1.3,9,6,1.3,8.85,7.49,1.28,8.5,6.5,1.29,9,6.5,1.29,9.3,7.66,1.33,8.59,6.64,1.29,1.3,3.5,1.33,3.57,1.36,3.66,1.32,3.39,1.75,1.98,1.95,1.99,1.93,2.03,2.02,1.91,1.96
E0,07/02/2021,16:30,Liverpool,Man City,1,4,A,0,0,D,M Oliver,8,8,3,5,13,8,6,1,2,1,0,0,3.4,3.6,2.05,3.4,3.7,2.05,3.4,3.4,2.2,3.44,3.7,2.17,3.4,3.6,2.1,3.4,3.6,2.1,3.54,3.78,2.2,3.37,3.63,2.12,1.72,2.1,1.74,2.2,1.78,2.29,1.7,2.17,0.25,2.03,1.87,2.05,1.88,2.16,1.88,2.04,1.84,3.2,3.6,2.15,3.1,3.6,2.2,3.25,3.35,2.25,3.15,3.69,2.3,3.25,3.5,2.2,3.13,3.5,2.25,3.45,3.76,2.35,3.13,3.6,2.25,1.72,2.1,1.76,2.17,1.83,2.25,1.74,2.12,0.25,1.92,2.01,1.93,2,2.02,2.03,1.92,1.97
E0,12/12/2020,17:30,Man United,Man City,0,0,D,0,0,D,C Kavanagh,11,9,2,2,13,6,4,3,1,1,0,0,4.33,4.2,1.72,4.2,4.2,1.75,4.4,3.85,1.73,4.49,4.32,1.75,4.5,4,1.73,4.75,4,1.7,4.75,4.35,1.79,4.39,4.16,1.74,1.61,2.3,1.65,2.35,1.71,2.39,1.65,2.27,0.75,1.96,1.97,1.95,1.97,1.97,1.99,1.93,1.94,4.5,4.33,1.66,4.5,4.2,1.7,4.3,3.9,1.75,4.68,4.29,1.73,4.5,4,1.73,4.6,3.8,1.75,4.8,4.43,1.77,4.57,4.17,1.71,1.61,2.3,1.67,2.33,1.74,2.47,1.64,2.28,0.75,1.99,1.94,1.99,1.93,2.02,1.95,1.97,1.91
E0,31/10/2020,12:30,Sheffield United,Man City,0,1,A,0,1,A,M Oliver,5,16,1,8,14,6,2,5,0,0,0,0,9.5,6,1.28,9.5,5.75,1.3,8.75,5.25,1.33,9.8,5.91,1.33,9.5,5.5,1.32,10,5.75,1.29,10.5,6.1,1.35,9.43,5.76,1.31,1.5,2.62,1.54,2.64,1.54,2.72,1.51,2.58,1.5,1.98,1.92,1.98,1.94,2.01,1.98,1.97,1.9,9.5,6,1.28,11.5,6,1.26,10,6,1.3,10.63,6.25,1.3,13,5.8,1.25,11.5,6,1.25,13,6.5,1.32,10.42,6.04,1.28,1.53,2.5,1.57,2.57,1.6,2.72,1.55,2.47,1.5,2.05,1.85,2.06,1.88,2.09,1.91,2.04,1.85
E0,19/12/2020,15:00,Southampton,Man City,0,1,A,0,1,A,M Dean,9,11,3,5,9,11,6,6,2,2,0,0,7,4.5,1.44,6.25,4.6,1.48,6.25,4.4,1.5,6.56,4.72,1.51,6.5,4.6,1.47,7,4.6,1.45,7,4.95,1.53,6.48,4.63,1.48,1.57,2.37,1.6,2.47,1.64,2.6,1.57,2.43,1.25,1.85,2.08,1.86,2.07,1.88,2.11,1.83,2.05,6,4.5,1.45,6,4.6,1.5,6,4.4,1.53,5.97,4.81,1.54,6.5,4.5,1.5,6,4.33,1.53,6.67,5.02,1.56,5.98,4.64,1.52,1.57,2.37,1.58,2.52,1.67,2.59,1.55,2.45,1,2.07,1.86,2.06,1.87,2.09,1.9,2.03,1.84
E0,21/11/2020,17:30,Tottenham,Man City,2,0,H,1,0,H,M Dean,4,22,2,5,13,19,0,10,2,2,0,0,4,4,1.8,4.1,3.8,1.83,3.95,4,1.8,4.24,4.21,1.82,4.2,3.9,1.8,4.2,3.9,1.8,4.35,4.21,1.88,4.1,4.03,1.81,1.57,2.37,1.63,2.43,1.67,2.49,1.6,2.37,0.75,1.85,2.08,1.88,2.05,1.89,2.11,1.83,2.05,4.2,4,1.75,4.2,4.1,1.75,3.8,4,1.83,4.3,4.21,1.81,4.2,4,1.8,4.1,4,1.8,4.6,4.35,1.86,4.12,4.09,1.8,1.57,2.37,1.58,2.51,1.64,2.55,1.57,2.43,0.75,1.88,2.05,1.89,2.03,1.91,2.08,1.85,2.03
E0,26/01/2021,20:15,West Brom,Man City,0,5,A,0,4,A,C Kavanagh,4,18,1,7,8,8,3,8,2,0,0,0,15,7.5,1.18,16,7.25,1.18,15,6.75,1.2,15.82,7.25,1.21,12,7,1.22,18,7,1.18,18,7.5,1.23,15.44,7.06,1.2,1.57,2.37,1.6,2.44,1.64,2.51,1.57,2.42,2,1.86,2.07,1.85,2.06,1.92,2.1,1.85,2.02,18,8,1.14,19.5,8.25,1.14,21,8,1.15,20.07,8.8,1.16,17,8,1.15,22,8.5,1.13,26,9.3,1.17,19.5,8.28,1.15,1.44,2.75,1.45,2.86,1.55,2.88,1.47,2.7,2.25,1.92,2.01,1.93,1.98,1.94,2.05,1.87,2
E0,24/10/2020,12:30,West Ham,Man City,1,1,D,1,0,H,A Taylor,6,14,2,7,14,6,2,10,2,0,0,0,8,5.25,1.36,7.25,5,1.4,6.5,4.8,1.43,7.51,5.3,1.42,7.5,5,1.4,7.5,5,1.4,8,5.55,1.44,7.2,5.16,1.41,1.4,3,1.44,2.98,1.45,3,1.42,2.89,1.5,1.73,2.08,1.79,2.14,1.85,2.16,1.79,2.09,6.5,5.25,1.4,6.75,5,1.42,6,4.6,1.47,6.97,5.13,1.45,7,5,1.42,7,5,1.4,7.3,5.4,1.48,6.63,5.07,1.44,1.4,3,1.45,2.93,1.49,3.23,1.42,2.89,1.25,1.96,1.97,1.93,1.99,1.98,2.04,1.94,1.95
