Div,Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,Referee,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,B365H,B365D,B365A,BWH,BWD,BWA,IWH,IWD,IWA,PSH,PSD,PSA,WHH,WHD,WHA,VCH,VCD,VCA,MaxH,MaxD,MaxA,AvgH,AvgD,AvgA,B365>2.5,B365<2.5,P>2.5,P<2.5,Max>2.5,Max<2.5,Avg>2.5,Avg<2.5,AHh,B365AHH,B365AHA,PAHH,PAHA,MaxAHH,MaxAHA,AvgAHH,AvgAHA,B365CH,B365CD,B365CA,BWCH,BWCD,BWCA,IWCH,IWCD,IWCA,PSCH,PSCD,PSCA,WHCH,WHCD,WHCA,VCCH,VCCD,VCCA,MaxCH,MaxCD,MaxCA,AvgCH,AvgCD,AvgCA,B365C>2.5,B365C<2.5,PC>2.5,PC<2.5,MaxC>2.5,MaxC<2.5,AvgC>2.5,AvgC<2.5,AHCh,B365CAHH,B365CAHA,PCAHH,PCAHA,MaxCAHH,MaxCAHA,AvgCAHH,AvgCAHA
E0,26/09/2020,12:30,Brighton,Man United,2,3,A,1,1,D,C Kavanagh,18,7,5,3,18,16,7,1,4,2,0,0,4.75,3.75,1.72,5,3.7,1.72,4.7,3.55,1.77,5.1,3.82,1.78,5,3.7,1.73,4.8,3.75,1.73,5.3,3.92,1.81,4.83,3.75,1.75,1.9,1.9,1.88,2.05,1.92,2.07,1.86,1.97,0.75,1.91,1.99,1.93,2.01,1.93,2.03,1.89,1.98,5.25,4,1.61,5.5,4,1.62,5.25,3.85,1.63,5.58,4.36,1.63,5.25,4.2,1.6,5.5,4.1,1.6,5.85,4.6,1.69,5.37,4.15,1.62,1.66,2.2,1.7,2.29,1.82,2.37,1.7,2.19,1,1.87,2.03,1.87,2.07,1.91,2.17,1.83,2.06
E0,17/10/2020,20:00,Newcastle,Man United,1,4,A,1,1,D,C Pawson,7,28,4,14,9,12,0,7,1,1,0,0,4.75,4,1.66,4.75,4.2,1.65,4.7,3.75,1.73,4.87,4.18,1.74,4.75,4,1.7,5,3.9,1.67,5,4.3,1.76,4.78,4.08,1.7,1.72,2.1,1.75,2.21,1.8,2.23,1.74,2.11,0.75,1.98,1.92,1.99,1.94,2.05,1.94,1.98,1.89,4.5,4.2,1.7,4.4,4.1,1.72,4.5,3.75,1.73,4.77,4.21,1.74,4.75,4,1.7,4.8,3.9,1.7,4.92,4.4,1.76,4.62,4.11,1.72,1.66,2.2,1.71,2.27,1.75,2.37,1.67,2.23,0.75,1.97,1.93,1.98,1.95,2.07,1.97,1.97,1.91
E0,07/11/2020,12:30,Everton,Man United,1,3,A,1,2,A,P Tierney,7,13,1,5,12,19,5,2,4,2,0,0,2.9,3.5,2.37,2.85,3.5,2.4,2.9,3.3,2.4,2.98,3.65,2.44,2.9,3.5,2.4,2.9,3.5,2.38,3.04,3.65,2.51,2.91,3.52,2.42,1.72,2.1,1.8,2.13,1.84,2.18,1.76,2.08,0.25,1.84,2.09,1.83,2.12,1.84,2.13,1.81,2.08,3.25,3.6,2.15,3.1,3.5,2.25,3.05,3.6,2.3,3.33,3.68,2.23,3.1,3.5,2.25,3.1,3.5,2.25,3.55,3.86,2.38,3.18,3.61,2.22,1.72,2.1,1.78,2.16,1.8,2.32,1.72,2.15,0.25,2,1.93,2,1.93,2.04,1.99,1.96,1.92
E0,29/11/2020,14:00,Southampton,Man United,2,3,A,2,0,H,J Moss,10,15,5,6,12,12,5,9,1,0,0,0,4,3.5,1.95,3.8,3.6,1.95,3.65,3.5,2,3.94,3.66,2.02,3.9,3.4,2,3.75,3.5,2,4.06,3.68,2.07,3.8,3.57,2,1.8,2,1.8,2.11,1.93,2.11,1.81,2.01,0.5,1.89,2.01,1.91,2.02,1.93,2.05,1.86,2,3.8,3.6,1.95,3.75,3.7,1.95,3.65,3.6,1.97,3.92,3.86,1.96,4,3.6,1.91,3.9,3.6,1.93,4.18,3.86,2,3.83,3.72,1.95,1.72,2.1,1.76,2.18,1.8,2.26,1.73,2.12,0.5,1.95,1.95,1.96,1.96,1.98,2.02,1.92,1.96
E0,05/12/2020,17:30,West Ham,Man United,1,3,A,1,0,H,A Marriner,19,15,6,6,9,10,5,4,0,0,0,0,3.6,3.6,2,3.6,3.5,2.05,3.7,3.45,2,3.75,3.69,2.06,3.6,3.4,2.1,3.6,3.6,2,3.76,3.86,2.12,3.62,3.57,2.05,1.72,2.1,1.75,2.18,1.8,2.19,1.74,2.11,0.5,1.86,2.07,1.87,2.06,1.88,2.1,1.83,2.04,3.3,3.5,2.15,3.3,3.5,2.15,3.25,3.45,2.15,3.52,3.53,2.2,3.4,3.4,2.15,3.3,3.5,2.15,3.63,3.57,2.25,3.37,3.49,2.17,1.8,2,1.83,2.07,1.85,2.15,1.8,2.03,0.25,2.03,1.9,2.03,1.89,2.06,1.92,1.99,1.88
E0,17/12/2020,20:00,Sheffield United,Man United,2,3,A,1,2,A,M Oliver,12,14,6,8,17,8,6,3,3,2,0,0,7,4.6,1.44,6.5,4.5,1.48,7.75,4.8,1.4,7.35,4.78,1.47,7.5,4.4,1.44,7.5,4.4,1.44,7.75,4.8,1.5,7.14,4.54,1.46,1.8,2,1.85,2.07,1.91,2.08,1.83,1.99,1.25,1.84,2.09,1.83,2.11,1.87,2.12,1.82,2.06,7,4.5,1.44,6.75,4.75,1.44,7.25,5,1.4,7.88,4.75,1.45,7.5,4.6,1.42,7,4.6,1.45,7.88,5.05,1.49,7.2,4.73,1.44,1.72,2.1,1.72,2.23,1.74,2.37,1.67,2.21,1.25,1.94,1.99,1.93,2,1.97,2.05,1.89,1.98
E0,26/12/2020,12:30,Leicester,Man United,2,2,D,1,1,D,M Dean,10,9,2,4,10,17,5,0,2,1,0,0,2.9,3.6,2.3,2.9,3.6,2.35,3,3.3,2.3,3.08,3.67,2.35,3,3.5,2.3,3,3.6,2.3,3.13,3.71,2.42,3.01,3.55,2.32,1.66,2.2,1.7,2.26,1.73,2.29,1.68,2.2,0.25,1.88,2.02,1.88,2.04,1.93,2.05,1.86,2,2.9,3.6,2.3,3,3.5,2.3,3,3.4,2.35,3.03,3.62,2.4,3,3.5,2.3,2.9,3.5,2.38,3.16,3.69,2.49,2.96,3.54,2.36,1.72,2.1,1.74,2.2,1.78,2.26,1.73,2.13,0.25,1.85,2.08,1.85,2.08,1.94,2.11,1.85,2.04
E0,12/01/2021,20:15,Burnley,Man United,0,1,A,0,0,D,K Friend,11,13,0,7,15,13,3,4,1,2,0,0,7,4.5,1.45,7.25,4.5,1.45,6.6,4.5,1.48,7.33,4.66,1.48,7,4.33,1.47,7.5,4.5,1.44,7.7,4.7,1.52,7.03,4.56,1.47,1.72,2.1,1.72,2.22,1.77,2.26,1.71,2.17,1.25,1.85,2.08,1.85,2.09,1.87,2.11,1.83,2.06,8,4.75,1.4,8,4.75,1.4,7,4.85,1.42,7.92,5.05,1.43,8,4.75,1.4,8.5,5,1.36,8.65,5.06,1.44,7.76,4.87,1.41,1.66,2.2,1.67,2.33,1.71,2.37,1.65,2.26,1.25,2.02,1.91,2,1.93,2.04,1.94,1.98,1.9
E0,17/01/2021,16:30,Liverpool,Man United,0,0,D,0,0,D,P Tierney,17,8,3,4,15,6,7,3,2,1,0,0,1.95,3.8,3.6,2,3.8,3.5,1.95,3.8,3.65,1.98,4,3.71,1.95,3.8,3.6,1.95,3.75,3.7,2.02,4.1,3.76,1.97,3.84,3.65,1.66,2.2,1.71,2.25,1.75,2.32,1.68,2.21,-0.5,1.97,1.93,1.98,1.93,2,1.95,1.96,1.91,1.95,3.8,3.6,1.95,3.8,3.6,1.9,3.9,3.65,1.94,3.98,3.89,1.95,3.7,3.75,1.93,3.9,3.6,2.02,4.05,4.05,1.94,3.89,3.72,1.53,2.5,1.54,2.64,1.59,2.69,1.53,2.51,-0.5,1.96,1.94,1.94,1.98,2.01,1.98,1.94,1.93
E0,20/01/2021,20:15,Fulham,Man United,1,2,A,1,1,D,M Atkinson,12,15,5,5,6,10,2,8,3,1,0,0,6,4.33,1.53,5.75,4.33,1.55,5.8,4.25,1.55,6.32,4.41,1.56,6.5,4.2,1.53,6.5,4.2,1.53,6.5,4.54,1.59,6.05,4.31,1.55,1.72,2.1,1.78,2.14,1.8,2.21,1.73,2.13,1,1.96,1.94,1.96,1.96,1.99,2,1.94,1.92,5.5,4,1.6,5.5,4.25,1.57,5.25,4.1,1.63,5.49,4.18,1.66,5.8,4,1.6,5.5,4,1.62,6.05,4.35,1.67,5.44,4.1,1.63,1.72,2.1,1.76,2.16,1.76,2.26,1.71,2.15,1,1.75,2.05,1.79,2.15,1.9,2.16,1.8,2.09
