Div,Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,Referee,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,B365H,B365D,B365A,BWH,BWD,BWA,IWH,IWD,IWA,PSH,PSD,PSA,WHH,WHD,WHA,VCH,VCD,VCA,MaxH,MaxD,MaxA,AvgH,AvgD,AvgA,B365>2.5,B365<2.5,P>2.5,P<2.5,Max>2.5,Max<2.5,Avg>2.5,Avg<2.5,AHh,B365AHH,B365AHA,PAHH,PAHA,MaxAHH,MaxAHA,AvgAHH,AvgAHA,B365CH,B365CD,B365CA,BWCH,BWCD,BWCA,IWCH,IWCD,IWCA,PSCH,PSCD,PSCA,WHCH,WHCD,WHCA,VCCH,VCCD,VCCA,MaxCH,MaxCD,MaxCA,AvgCH,AvgCD,AvgCA,B365C>2.5,B365C<2.5,PC>2.5,PC<2.5,MaxC>2.5,MaxC<2.5,AvgC>2.5,AvgC<2.5,AHCh,B365CAHH,B365CAHA,PCAHH,PCAHA,MaxCAHH,MaxCAHA,AvgCAHH,AvgCAHA
E0,19/09/2020,17:30,Man United,Crystal Palace,1,3,A,0,1,A,M Atkinson,13,14,4,5,13,10,9,3,2,1,0,0,1.3,5.5,9.5,1.33,5.25,9.25,1.35,5,9,1.3,5.88,9.8,1.3,5.5,10,1.33,5.25,10,1.36,6.1,11,1.32,5.57,9.56,1.66,2.2,1.67,2.29,1.74,2.31,1.66,2.24,-1.5,2,1.9,1.98,1.92,2.08,1.97,1.98,1.89,1.36,5,8,1.36,5,8.5,1.37,5.25,8,1.38,5.18,9.33,1.35,5,9,1.36,5,9.5,1.42,5.4,10,1.37,5.07,8.7,1.66,2.2,1.71,2.27,1.76,2.37,1.68,2.22,-1.25,1.86,2.04,1.9,2.04,1.91,2.08,1.86,2.02
E0,04/10/2020,16:30,Man United,Tottenham,1,6,A,1,4,A,A Taylor,5,22,2,8,14,10,2,4,2,1,1,0,1.85,3.8,4,1.91,3.7,3.9,1.95,3.45,3.95,1.93,3.76,4.09,1.91,3.7,3.9,1.9,3.6,4.1,1.97,3.96,4.15,1.92,3.71,3.97,1.72,2.1,1.78,2.15,1.87,2.16,1.79,2.04,-0.5,1.95,1.98,1.93,2,1.97,2,1.92,1.96,2,3.7,3.6,1.95,3.6,3.8,2.1,3.4,3.45,2.12,3.7,3.6,2.1,3.5,3.5,2.05,3.6,3.5,2.18,3.76,3.8,2.08,3.62,3.52,1.72,2.1,1.75,2.2,1.81,2.26,1.73,2.12,-0.25,1.77,2.02,1.84,2.11,1.85,2.14,1.8,2.08
E0,24/10/2020,17:30,Man United,Chelsea,0,0,D,0,0,D,M Atkinson,14,6,4,1,8,6,9,6,3,1,0,0,2.37,3.6,2.8,2.35,3.6,2.9,2.4,3.35,2.9,2.45,3.65,2.97,2.35,3.6,2.88,2.4,3.6,2.8,2.45,3.84,3.02,2.38,3.59,2.9,1.61,2.3,1.63,2.42,1.69,2.43,1.62,2.32,-0.25,2.09,1.84,2.12,1.83,2.12,1.87,2.07,1.82,2.55,3.5,2.62,2.55,3.4,2.75,2.55,3.25,2.75,2.69,3.46,2.79,2.6,3.4,2.7,2.55,3.5,2.7,2.74,3.73,2.85,2.6,3.46,2.72,1.72,2.1,1.78,2.16,1.8,2.26,1.7,2.17,0,1.93,2,1.93,2,1.98,2.05,1.9,1.98
E0,01/11/2020,16:30,Man United,Arsenal,0,1,A,0,0,D,M Dean,8,7,2,2,12,12,6,3,3,3,0,0,2,3.6,3.6,2,3.7,3.6,2.05,3.45,3.55,2.05,3.78,3.73,2.05,3.6,3.6,2.05,3.6,3.5,2.1,3.85,3.76,2.04,3.66,3.58,1.72,2.1,1.76,2.19,1.81,2.22,1.74,2.12,-0.5,2.05,1.85,2.05,1.88,2.09,1.9,2.04,1.84,1.95,3.6,3.8,1.95,3.6,3.9,2,3.5,3.8,2.02,3.65,3.97,2,3.5,3.8,1.95,3.5,4,2.06,3.75,4,1.99,3.59,3.87,1.9,1.9,1.96,1.96,1.99,2.1,1.88,1.95,-0.5,2,1.9,2.03,1.9,2.05,1.92,2,1.88
E0,21/11/2020,20:00,Man United,West Brom,1,0,H,0,0,D,D Coote,17,7,7,2,12,17,8,2,1,1,0,0,1.3,5.5,9.5,1.3,5.5,9.75,1.35,5.5,7.5,1.34,5.5,10.03,1.32,5.25,9.5,1.33,5,10,1.38,5.75,10.5,1.34,5.34,9.21,1.66,2.2,1.66,2.35,1.7,2.38,1.64,2.28,-1.5,2.06,1.87,2.09,1.85,2.11,1.93,2.02,1.85,1.3,5.75,9,1.3,5.75,9,1.35,5.5,7.5,1.33,5.76,9.79,1.32,5.5,9,1.3,5.5,10,1.36,6.05,10,1.32,5.61,9.13,1.57,2.37,1.61,2.46,1.61,2.58,1.56,2.43,-1.5,1.98,1.95,1.99,1.93,2.01,1.96,1.95,1.92
E0,12/12/2020,17:30,Man United,Man City,0,0,D,0,0,D,C Kavanagh,11,9,2,2,13,6,4,3,1,1,0,0,4.33,4.2,1.72,4.2,4.2,1.75,4.4,3.85,1.73,4.49,4.32,1.75,4.5,4,1.73,4.75,4,1.7,4.75,4.35,1.79,4.39,4.16,1.74,1.61,2.3,1.65,2.35,1.71,2.39,1.65,2.27,0.75,1.96,1.97,1.95,1.97,1.97,1.99,1.93,1.94,4.5,4.33,1.66,4.5,4.2,1.7,4.3,3.9,1.75,4.68,4.29,1.73,4.5,4,1.73,4.6,3.8,1.75,4.8,4.43,1.77,4.57,4.17,1.71,1.61,2.3,1.67,2.33,1.74,2.47,1.64,2.28,0.75,1.99,1.94,1.99,1.93,2.02,1.95,1.97,1.91
E0,20/12/2020,16:30,Man United,Leeds,6,2,H,4,1,H,A Taylor,26,17,14,3,6,6,11,13,1,0,0,0,1.66,4.33,4.5,1.7,4.25,4.4,1.73,3.95,4.3,1.73,4.31,4.66,1.7,4.2,4.5,1.67,4.2,4.75,1.77,4.42,4.75,1.71,4.23,4.49,1.5,2.62,1.49,2.74,1.55,2.75,1.5,2.6,-0.75,1.92,2.01,1.93,2,1.93,2.02,1.89,1.98,1.7,4.2,4.33,1.72,4.1,4.4,1.7,4.1,4.5,1.74,4.44,4.45,1.7,4.2,4.5,1.7,4.33,4.4,1.77,4.55,4.73,1.72,4.34,4.38,1.36,3.2,1.44,2.94,1.44,3.23,1.37,3.07,-0.75,1.91,2.02,1.93,2,1.93,2.04,1.89,1.98
E0,29/12/2020,20:00,Man United,Wolves,1,0,H,0,0,D,J Moss,11,9,3,5,11,7,2,2,1,1,0,0,1.53,4.2,6.25,1.57,4.2,5.75,1.55,4.2,6,1.53,4.35,5.94,1.55,4,6.5,1.55,4,6.5,1.6,4.52,6.5,1.55,4.21,6.1,1.96,1.94,1.9,1.93,2.01,2.02,1.92,1.9,-1,2.01,1.92,1.93,1.92,2.04,1.94,1.96,1.9,1.53,4.2,6,1.53,4.33,6,1.55,4.1,6,1.57,4.31,6.35,1.53,4.2,6.5,1.53,4.2,6.5,1.59,4.5,7,1.54,4.27,6.2,1.72,2.1,1.77,2.16,1.8,2.26,1.72,2.13,-1,1.96,1.97,1.98,1.94,2.02,2.05,1.92,1.95
E0,01/01/2021,20:00,Man United,Aston Villa,2,1,H,1,0,H,M Oliver,19,5,9,5,22,10,5,10,4,0,0,0,1.72,4.2,4.2,1.7,4.2,4.5,1.75,3.9,4.4,1.78,4.14,4.52,1.75,4,4.4,1.7,4.1,4.6,1.81,4.35,4.7,1.74,4.14,4.42,1.53,2.5,1.58,2.52,1.58,2.72,1.54,2.48,-0.75,1.96,1.94,1.99,1.93,2.07,1.99,1.95,1.93,1.66,4,4.75,1.67,4.1,4.75,1.75,4,4.2,1.75,4.13,4.74,1.67,4,5,1.67,4.1,4.8,1.81,4.4,5.25,1.7,4.12,4.68,1.57,2.37,1.6,2.49,1.61,2.55,1.56,2.45,-0.75,1.91,1.99,1.95,1.97,2.07,2.08,1.9,1.98
E0,27/01/2021,20:15,Man United,Sheffield United,1,2,A,0,1,A,P Bankes,16,5,4,3,10,12,7,2,1,1,0,0,1.25,6,11,1.26,6,11,1.3,6,9,1.29,6.21,11.4,1.27,5.8,11,1.29,5.5,12,1.32,6.3,12,1.28,5.94,10.6,1.66,2.2,1.7,2.27,1.73,2.35,1.66,2.24,-1.5,1.93,2,1.93,1.99,1.94,2.07,1.88,2,1.25,5.75,10,1.26,6,11,1.25,6.25,12,1.28,6.26,11.23,1.27,5.8,11,1.25,6,11,1.31,6.49,12,1.28,6.02,10.77,1.53,2.5,1.57,2.52,1.62,2.55,1.56,2.44,-1.75,2.03,1.9,2.03,1.88,2.11,1.98,2.02,1.86
