Div,Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,Referee,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,B365H,B365D,B365A,BWH,BWD,BWA,IWH,IWD,IWA,PSH,PSD,PSA,WHH,WHD,WHA,VCH,VCD,VCA,MaxH,MaxD,MaxA,AvgH,AvgD,AvgA,B365>2.5,B365<2.5,P>2.5,P<2.5,Max>2.5,Max<2.5,Avg>2.5,Avg<2.5,AHh,B365AHH,B365AHA,PAHH,PAHA,MaxAHH,MaxAHA,AvgAHH,AvgAHA,B365CH,B365CD,B365CA,BWCH,BWCD,BWCA,IWCH,IWCD,IWCA,PSCH,PSCD,PSCA,WHCH,WHCD,WHCA,VCCH,VCCD,VCCA,MaxCH,MaxCD,MaxCA,AvgCH,AvgCD,AvgCA,B365C>2.5,B365C<2.5,PC>2.5,PC<2.5,MaxC>2.5,MaxC<2.5,AvgC>2.5,AvgC<2.5,AHCh,B365CAHH,B365CAHA,PCAHH,PCAHA,MaxCAHH,MaxCAHA,AvgCAHH,AvgCAHA
E0,04/10/2020,14:00,Arsenal,Sheffield United,2,1,H,0,0,D,L Mason,6,6,5,2,3,9,2,4,0,1,0,0,1.57,4,6,1.55,4.1,6.25,1.6,3.8,6,1.56,4.17,6.73,1.55,4,6.5,1.55,4,6.5,1.6,4.3,6.75,1.56,4.09,6.25,1.9,1.9,1.94,1.98,2.02,1.98,1.93,1.89,-1,2.03,1.9,2.05,1.88,2.05,1.92,2,1.87,1.5,4.2,7,1.48,4.33,7,1.55,4,6,1.5,4.46,7.41,1.47,4.2,7.5,1.5,4.33,7,1.55,4.7,7.5,1.5,4.36,6.94,1.72,2.1,1.78,2.14,1.86,2.23,1.77,2.07,-1,1.83,2.1,1.85,2.09,1.89,2.21,1.83,2.06
E0,21/09/2020,18:00,Aston Villa,Sheffield United,1,0,H,0,0,D,G Scott,18,4,2,1,12,13,10,4,3,1,0,1,2.7,3.1,2.75,2.7,3.2,2.7,2.7,2.95,2.75,2.77,3.22,2.78,2.7,3.2,2.7,2.7,3.13,2.8,2.81,3.4,2.85,2.71,3.19,2.75,2.2,1.66,2.34,1.67,2.38,1.75,2.25,1.66,0,1.91,1.99,1.96,1.97,1.99,2.02,1.91,1.95,2.45,3.2,3.1,2.4,3.2,3.1,2.5,3.1,3.1,2.46,3.19,3.35,2.4,3.1,3.2,2.45,3.2,3.13,2.6,3.3,3.35,2.46,3.16,3.16,2.2,1.66,2.33,1.68,2.36,1.76,2.23,1.67,-0.25,2.1,1.83,2.08,1.86,2.14,1.87,2.09,1.81
E0,20/12/2020,12:00,Brighton,Sheffield United,1,1,D,0,0,D,P Bankes,21,5,5,3,9,11,14,2,1,5,0,1,1.65,3.75,5.5,1.72,3.7,5,1.7,3.45,5.5,1.69,3.85,5.79,1.7,3.6,5.5,1.7,3.5,5.75,1.75,3.88,5.79,1.69,3.72,5.43,2.2,1.66,2.23,1.72,2.33,1.74,2.22,1.67,-0.75,1.93,2,1.92,2,1.97,2.02,1.9,1.96,1.83,3.4,4.75,1.83,3.4,4.75,1.8,3.4,4.7,1.94,3.41,4.64,1.85,3.4,4.6,1.87,3.4,4.5,1.96,3.73,5,1.88,3.43,4.57,2.2,1.66,2.24,1.71,2.25,1.78,2.17,1.69,-0.5,1.93,2,1.94,1.98,1.95,2.02,1.89,1.98
E0,29/12/2020,18:00,Burnley,Sheffield United,1,0,H,1,0,H,C Kavanagh,5,7,3,3,13,17,3,5,1,2,0,0,2.37,3.1,3.25,2.3,3.2,3.25,2.4,3.05,3.15,2.45,3.2,3.31,2.4,3.1,3.2,2.38,3.1,3.25,2.48,3.25,3.42,2.41,3.15,3.22,2.37,1.57,2.52,1.58,2.55,1.61,2.43,1.57,-0.25,2.06,1.87,2.08,1.85,2.09,1.9,2.05,1.83,2.4,3.2,3.1,2.4,3.2,3.1,2.4,3.05,3.2,2.43,3.22,3.34,2.25,3.2,3.4,2.38,3.1,3.25,2.5,3.35,3.4,2.4,3.17,3.22,2.5,1.53,2.56,1.56,2.56,1.6,2.46,1.55,-0.25,2.06,1.87,2.06,1.87,2.09,1.96,2.03,1.86
E0,07/11/2020,17:30,Chelsea,Sheffield United,4,1,H,2,1,H,J Moss,20,6,9,3,5,14,6,7,0,2,0,0,1.36,5,8.5,1.4,4.75,7.75,1.4,4.9,8.25,1.41,5.06,8.48,1.38,4.75,8.5,1.36,4.8,9,1.44,5.2,9,1.39,4.93,8.23,1.72,2.1,1.74,2.21,1.76,2.28,1.69,2.19,-1.25,1.95,1.98,1.97,1.95,1.99,2.02,1.9,1.97,1.36,5,8,1.4,4.75,7.75,1.35,5,9.5,1.39,5.16,8.7,1.36,4.75,9.5,1.33,5,8.5,1.43,5.25,9.8,1.38,4.95,8.63,1.72,2.1,1.78,2.15,1.85,2.26,1.75,2.09,-1.25,1.86,2.07,1.89,2.04,1.91,2.11,1.86,2.03
E0,02/01/2021,15:00,Crystal Palace,Sheffield United,2,0,H,2,0,H,S Attwell,9,7,4,2,8,18,3,6,1,3,0,0,1.95,3.5,3.9,1.95,3.5,3.9,1.95,3.3,4.1,2.02,3.45,3.84,2,3.3,4,2,3.25,4.1,2.09,3.55,4.1,2.01,3.4,3.93,2.3,1.61,2.26,1.65,2.34,1.7,2.25,1.65,-0.5,2.03,1.87,2.02,1.84,2.07,1.91,2,1.85,2.05,3.25,3.9,2.05,3.3,3.8,2.05,3.2,3.95,2.14,3.28,4,2.05,3.2,4,2.1,3.25,3.75,2.15,3.47,4.23,2.08,3.26,3.9,2.37,1.57,2.45,1.61,2.45,1.67,2.36,1.6,-0.5,2.1,1.8,2.12,1.81,2.17,1.86,2.08,1.8
E0,24/10/2020,20:00,Liverpool,Sheffield United,2,1,H,1,1,D,M Dean,17,13,5,2,7,15,7,3,0,3,0,0,1.22,6.5,12,1.25,6.25,11.5,1.27,6,11,1.25,6.66,12.96,1.25,6,12,1.25,6,13,1.29,6.75,13,1.25,6.36,11.55,1.5,2.62,1.5,2.73,1.51,2.76,1.49,2.61,-1.75,1.95,1.98,1.94,1.97,1.97,1.99,1.93,1.95,1.2,7.5,12,1.2,7.25,13,1.25,7,10,1.22,7.45,13.55,1.2,7,15,1.2,7,13,1.25,7.86,15.25,1.21,7.24,12.71,1.33,3.4,1.34,3.42,1.37,3.72,1.34,3.28,-2,2.01,1.92,2,1.91,2.02,2.03,1.96,1.92
E0,30/01/2021,15:00,Man City,Sheffield United,1,0,H,1,0,H,D Coote,10,4,5,1,7,10,10,0,0,3,0,0,1.12,9,18,1.14,8,19.5,1.12,8.5,23,1.13,9.43,26.18,1.14,8,21,1.13,9,21,1.16,9.6,27,1.13,8.75,21.73,1.5,2.62,1.49,2.72,1.53,2.75,1.49,2.63,-2.25,1.96,1.94,1.97,1.93,2.01,1.98,1.96,1.92,1.14,7.5,19,1.18,7,17.5,1.17,7,18,1.19,7.29,18.12,1.18,7,17,1.17,7.5,18,1.22,8.36,21,1.18,7.27,16.86,1.61,2.3,1.64,2.36,1.66,2.75,1.58,2.4,-2,2.06,1.87,2.09,1.83,2.12,2.1,2,1.88
E0,27/01/2021,20:15,Man United,Sheffield United,1,2,A,0,1,A,P Bankes,16,5,4,3,10,12,7,2,1,1,0,0,1.25,6,11,1.26,6,11,1.3,6,9,1.29,6.21,11.4,1.27,5.8,11,1.29,5.5,12,1.32,6.3,12,1.28,5.94,10.6,1.66,2.2,1.7,2.27,1.73,2.35,1.66,2.24,-1.5,1.93,2,1.93,1.99,1.94,2.07,1.88,2,1.25,5.75,10,1.26,6,11,1.25,6.25,12,1.28,6.26,11.23,1.27,5.8,11,1.25,6,11,1.31,6.49,12,1.28,6.02,10.77,1.53,2.5,1.57,2.52,1.62,2.55,1.56,2.44,-1.75,2.03,1.9,2.03,1.88,2.11,1.98,2.02,1.86
E0,13/12/2020,12:00,Southampton,Sheffield United,3,0,H,1,0,H,A Madley,16,3,6,0,8,14,8,4,0,1,0,0,1.7,3.75,5,1.7,3.8,5,1.73,3.5,4.9,1.73,4.01,5.07,1.7,3.8,5,1.7,3.7,5.25,1.76,4.01,5.25,1.72,3.83,4.95,2.01,1.89,2.01,1.89,2.07,1.92,1.99,1.83,-0.75,1.97,1.96,1.97,1.94,1.98,1.97,1.94,1.93,1.61,3.8,5.25,1.65,3.9,5.25,1.63,3.95,5.25,1.65,4.11,5.75,1.63,3.9,5.5,1.6,4,5.75,1.68,4.25,5.81,1.64,4.03,5.45,1.8,2,1.86,2.05,1.9,2.15,1.82,2.01,-1,2.02,1.77,2.17,1.78,2.2,1.91,2.11,1.78
