Div,Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,Referee,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,B365H,B365D,B365A,BWH,BWD,BWA,IWH,IWD,IWA,PSH,PSD,PSA,WHH,WHD,WHA,VCH,VCD,VCA,MaxH,MaxD,MaxA,AvgH,AvgD,AvgA,B365>2.5,B365<2.5,P>2.5,P<2.5,Max>2.5,Max<2.5,Avg>2.5,Avg<2.5,AHh,B365AHH,B365AHA,PAHH,PAHA,MaxAHH,MaxAHA,AvgAHH,AvgAHA,B365CH,B365CD,B365CA,BWCH,BWCD,BWCA,IWCH,IWCD,IWCA,PSCH,PSCD,PSCA,WHCH,WHCD,WHCA,VCCH,VCCD,VCCA,MaxCH,MaxCD,MaxCA,AvgCH,AvgCD,AvgCA,B365C>2.5,B365C<2.5,PC>2.5,PC<2.5,MaxC>2.5,MaxC<2.5,AvgC>2.5,AvgC<2.5,AHCh,B365CAHH,B365CAHA,PCAHH,PCAHA,MaxCAHH,MaxCAHA,AvgCAHH,AvgCAHA
E0,14/09/2020,18:00,Sheffield United,Wolves,0,2,A,0,2,A,M Dean,9,11,2,4,13,7,12,5,2,1,0,0,3.25,3.1,2.37,3.4,3.1,2.3,3.35,2.7,2.45,3.41,3.03,2.46,3.3,3.1,2.38,3.4,3,2.38,3.46,3.24,2.52,3.36,3,2.41,2.62,1.5,2.84,1.48,2.88,1.53,2.68,1.48,0.25,1.86,2.04,1.85,2.06,1.88,2.07,1.84,2.02,3.2,2.9,2.55,3.2,2.9,2.55,3.2,2.6,2.65,3.28,2.9,2.68,3.25,2.8,2.6,3.3,2.88,2.55,3.5,2.97,2.77,3.23,2.86,2.62,3.2,1.36,3.15,1.41,3.2,1.44,3.01,1.39,0.25,1.7,2.1,1.74,2.23,1.86,2.28,1.74,2.18
E0,27/09/2020,12:00,Sheffield United,Leeds,0,1,A,0,0,D,P Tierney,14,17,4,9,18,4,5,7,2,1,0,0,2.7,3.3,2.62,2.7,3.4,2.6,2.75,3.15,2.6,2.83,3.5,2.63,2.7,3.3,2.62,2.75,3.3,2.6,2.83,3.5,2.75,2.72,3.37,2.63,1.9,1.9,2.01,1.91,2.1,1.91,2,1.83,0,2.01,1.89,2.04,1.89,2.05,1.94,1.98,1.89,2.8,3.4,2.5,2.7,3.4,2.6,2.95,3.05,2.5,3.09,3.44,2.47,3,3.3,2.4,2.9,3.25,2.5,3.1,3.49,2.62,2.95,3.34,2.47,2,1.8,2.11,1.81,2.16,1.93,2.05,1.79,0.25,1.81,2.09,1.83,2.12,1.85,2.2,1.79,2.11
E0,18/10/2020,12:00,Sheffield United,Fulham,1,1,D,0,0,D,A Marriner,10,15,6,6,5,9,2,5,0,2,0,0,2.1,3.3,3.7,2.05,3.4,3.7,2.15,3.1,3.7,2.15,3.4,3.84,2.1,3.25,3.75,2.05,3.25,3.9,2.17,3.45,3.95,2.11,3.32,3.74,2.2,1.66,2.31,1.69,2.33,1.71,2.25,1.65,-0.25,1.75,2.05,1.84,2.11,1.85,2.14,1.8,2.08,2.25,3.2,3.5,2.25,3.25,3.4,2.3,2.95,3.4,2.4,3.16,3.48,2.25,3.1,3.5,2.2,3.2,3.5,2.42,3.31,3.74,2.29,3.16,3.46,2.3,1.61,2.34,1.67,2.36,1.7,2.27,1.65,-0.25,2,1.9,2.03,1.9,2.04,2.03,1.96,1.93
E0,31/10/2020,12:30,Sheffield United,Man City,0,1,A,0,1,A,M Oliver,5,16,1,8,14,6,2,5,0,0,0,0,9.5,6,1.28,9.5,5.75,1.3,8.75,5.25,1.33,9.8,5.91,1.33,9.5,5.5,1.32,10,5.75,1.29,10.5,6.1,1.35,9.43,5.76,1.31,1.5,2.62,1.54,2.64,1.54,2.72,1.51,2.58,1.5,1.98,1.92,1.98,1.94,2.01,1.98,1.97,1.9,9.5,6,1.28,11.5,6,1.26,10,6,1.3,10.63,6.25,1.3,13,5.8,1.25,11.5,6,1.25,13,6.5,1.32,10.42,6.04,1.28,1.53,2.5,1.57,2.57,1.6,2.72,1.55,2.47,1.5,2.05,1.85,2.06,1.88,2.09,1.91,2.04,1.85
E0,22/11/2020,14:00,Sheffield United,West Ham,0,1,A,0,0,D,M Atkinson,9,15,5,3,7,6,2,6,0,0,0,0,3,3.25,2.4,3,3.3,2.4,3.05,3,2.45,3.2,3.3,2.48,3,3.3,2.4,3,3.2,2.45,3.2,3.46,2.53,3.06,3.26,2.43,2.1,1.72,2.12,1.79,2.25,1.81,2.11,1.74,0.25,1.82,2.11,1.83,2.1,1.85,2.16,1.8,2.08,3.1,3.2,2.4,3,3.25,2.45,3.05,3.15,2.4,3.09,3.25,2.56,3.2,3.1,2.4,3,3.2,2.45,3.37,3.3,2.61,3.09,3.2,2.46,2.2,1.66,2.21,1.74,2.24,1.76,2.15,1.71,0.25,1.7,2.1,1.78,2.16,1.86,2.21,1.78,2.11
E0,06/12/2020,14:15,Sheffield United,Leicester,1,2,A,1,1,D,S Attwell,4,13,1,4,13,6,6,5,1,3,0,0,3.8,3.5,1.95,3.8,3.5,2,4,3.5,1.9,4.02,3.54,2.04,3.8,3.5,2,3.9,3.4,2,4.02,3.68,2.08,3.86,3.49,2.01,2,1.8,2.07,1.85,2.07,1.88,2.01,1.82,0.5,1.89,2.04,1.89,2.04,1.91,2.07,1.87,2,4,3.5,1.95,4,3.5,1.95,3.95,3.45,1.95,4.14,3.67,1.96,4.2,3.4,1.95,4.1,3.4,1.95,4.34,3.68,2,4.04,3.52,1.96,2,1.8,2.04,1.87,2.09,1.92,2.01,1.81,0.5,1.96,1.97,1.96,1.96,1.98,2,1.91,1.96
E0,17/12/2020,20:00,Sheffield United,Man United,2,3,A,1,2,A,M Oliver,12,14,6,8,17,8,6,3,3,2,0,0,7,4.6,1.44,6.5,4.5,1.48,7.75,4.8,1.4,7.35,4.78,1.47,7.5,4.4,1.44,7.5,4.4,1.44,7.75,4.8,1.5,7.14,4.54,1.46,1.8,2,1.85,2.07,1.91,2.08,1.83,1.99,1.25,1.84,2.09,1.83,2.11,1.87,2.12,1.82,2.06,7,4.5,1.44,6.75,4.75,1.44,7.25,5,1.4,7.88,4.75,1.45,7.5,4.6,1.42,7,4.6,1.45,7.88,5.05,1.49,7.2,4.73,1.44,1.72,2.1,1.72,2.23,1.74,2.37,1.67,2.21,1.25,1.94,1.99,1.93,2,1.97,2.05,1.89,1.98
E0,26/12/2020,20:00,Sheffield United,Everton,0,1,A,0,0,D,D Coote,10,7,2,3,11,10,6,3,2,4,0,0,4.2,3.6,1.85,4.33,3.6,1.85,4.1,3.6,1.85,4.26,3.66,1.94,4.2,3.5,1.91,4.4,3.5,1.85,4.4,3.77,1.95,4.2,3.59,1.9,2.01,1.89,2.01,1.89,2.02,1.95,1.95,1.87,0.5,1.97,1.93,1.98,1.94,2.09,1.95,1.97,1.89,3.4,3.3,2.2,3.3,3.3,2.25,3.65,3.3,2.1,3.38,3.29,2.37,3.5,3.2,2.2,3.3,3.2,2.3,3.69,3.44,2.4,3.37,3.28,2.27,2.3,1.61,2.36,1.65,2.38,1.8,2.22,1.67,0.25,1.93,2,1.91,2.02,2,2.04,1.92,1.96
E0,12/01/2021,18:00,Sheffield United,Newcastle,1,0,H,0,0,D,A Madley,17,7,4,3,13,12,5,2,2,3,0,1,2.45,3.1,3.1,2.45,3.1,3.1,2.5,3.05,3.1,2.53,3.18,3.2,2.45,3.1,3.1,2.45,3,3.25,2.58,3.24,3.25,2.49,3.11,3.13,2.5,1.53,2.57,1.56,2.6,1.6,2.5,1.54,-0.25,2.13,1.81,2.14,1.81,2.17,1.83,2.12,1.79,2.3,3.1,3.3,2.45,3.1,3.1,2.45,3.1,3.15,2.34,3.23,3.5,2.35,3,3.4,2.3,3.1,3.4,2.51,3.25,3.6,2.34,3.13,3.39,2.37,1.57,2.45,1.61,2.47,1.67,2.38,1.59,-0.25,1.99,1.94,1.99,1.93,2.1,1.96,1.97,1.92
E0,17/01/2021,14:00,Sheffield United,Tottenham,1,3,A,0,2,A,A Marriner,15,14,5,5,13,4,5,7,4,0,0,0,6.25,3.75,1.6,6.5,3.8,1.57,5.6,3.75,1.65,6.1,3.73,1.68,6.5,3.6,1.63,6,3.8,1.62,6.5,3.91,1.7,5.96,3.73,1.65,2,1.8,2.11,1.8,2.14,1.88,2.04,1.79,0.75,2.03,1.87,2.04,1.89,2.09,1.92,2.03,1.84,4.5,3.6,1.83,4.75,3.6,1.78,5.2,3.6,1.7,4.81,3.71,1.83,5,3.5,1.78,4.8,3.5,1.8,5.3,3.72,1.87,4.79,3.6,1.8,2.1,1.72,2.18,1.76,2.21,1.83,2.11,1.75,0.75,1.83,2.07,1.84,2.1,1.97,2.13,1.84,2.05
E0,02/02/2021,18:00,Sheffield United,West Brom,2,1,H,0,1,A,P Tierney,14,8,6,4,11,9,9,2,2,1,0,0,2,3.3,4,1.95,3.3,4.2,2.1,3.2,3.85,2.11,3.33,4.03,1.95,3.3,4.2,2.05,3.2,4,2.14,3.48,4.3,2.05,3.3,3.99,2.3,1.61,2.35,1.66,2.38,1.69,2.28,1.64,-0.5,2.1,1.83,2.11,1.83,2.14,1.92,2.05,1.83,2.05,3.3,3.8,2.1,3.3,3.7,2.15,3.3,3.65,2.2,3.36,3.68,2.1,3.4,3.6,2.1,3.25,3.75,2.23,3.59,3.9,2.12,3.34,3.7,2.1,1.72,2.19,1.75,2.25,1.83,2.13,1.73,-0.25,1.84,2.09,1.88,2.05,1.89,2.14,1.81,2.07
E0,07/02/2021,19:15,Sheffield United,Chelsea,1,2,A,0,1,A,K Friend,8,9,3,3,8,8,1,8,1,0,0,0,7,4.5,1.45,7.25,4.1,1.5,7,4.4,1.47,7.64,4.46,1.49,7,4.2,1.5,7.5,4.33,1.45,7.8,4.75,1.52,7.18,4.38,1.48,1.9,1.9,1.93,1.97,1.95,2,1.88,1.94,1,2.07,1.83,2.13,1.8,2.15,1.84,2.09,1.8,7,4.33,1.45,6.75,4.33,1.48,7.5,4.4,1.45,6.96,4.36,1.53,7.5,4.2,1.47,7,4.1,1.5,7.95,4.47,1.55,6.99,4.27,1.5,1.9,1.9,2.01,1.89,2.07,1.94,1.95,1.87,1,2.01,1.92,1.99,1.93,2.1,1.96,2.02,1.86
