Div,Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,Referee,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,B365H,B365D,B365A,BWH,BWD,BWA,IWH,IWD,IWA,PSH,PSD,PSA,WHH,WHD,WHA,VCH,VCD,VCA,MaxH,MaxD,MaxA,AvgH,AvgD,AvgA,B365>2.5,B365<2.5,P>2.5,P<2.5,Max>2.5,Max<2.5,Avg>2.5,Avg<2.5,AHh,B365AHH,B365AHA,PAHH,PAHA,MaxAHH,MaxAHA,AvgAHH,AvgAHA,B365CH,B365CD,B365CA,BWCH,BWCD,BWCA,IWCH,IWCD,IWCA,PSCH,PSCD,PSCA,WHCH,WHCD,WHCA,VCCH,VCCD,VCCA,MaxCH,MaxCD,MaxCA,AvgCH,AvgCD,AvgCA,B365C>2.5,B365C<2.5,PC>2.5,PC<2.5,MaxC>2.5,MaxC<2.5,AvgC>2.5,AvgC<2.5,AHCh,B365CAHH,B365CAHA,PCAHH,PCAHA,MaxCAHH,MaxCAHA,AvgCAHH,AvgCAHA
E0,20/09/2020,12:00,Southampton,Tottenham,2,5,A,1,1,D,D Coote,14,9,7,6,16,18,3,2,4,3,0,0,3,3.3,2.37,3.1,3.25,2.4,3.05,3.15,2.4,3.12,3.39,2.41,3.1,3.3,2.35,3.13,3.3,2.38,3.25,3.5,2.44,3.1,3.35,2.37,2.02,1.88,1.99,1.93,2.06,1.96,1.97,1.87,0.25,1.86,2.04,1.85,2.08,1.89,2.08,1.85,2.03,3.3,3.4,2.2,3.3,3.3,2.25,3.3,3.15,2.25,3.45,3.46,2.27,3.4,3.3,2.2,3.3,3.4,2.25,3.58,3.52,2.32,3.34,3.37,2.25,2.02,1.88,2.02,1.91,2.07,1.92,1.97,1.86,0.25,1.97,1.96,1.98,1.95,2,1.99,1.94,1.94
E0,04/10/2020,12:00,Southampton,West Brom,2,0,H,1,0,H,C Kavanagh,13,5,7,2,19,10,5,1,2,1,0,0,1.72,3.8,4.75,1.72,3.9,4.75,1.77,3.6,4.5,1.78,3.91,4.71,1.75,3.8,4.6,1.73,3.8,4.75,1.82,4.02,4.8,1.76,3.86,4.58,1.8,2,1.81,2.11,1.88,2.11,1.8,2.02,-0.75,2,1.93,2.03,1.9,2.04,1.97,1.99,1.89,1.85,3.75,4,1.85,3.7,4.1,1.9,3.5,4.1,1.88,3.88,4.34,1.83,3.7,4.33,1.8,3.75,4.4,1.92,3.88,4.5,1.85,3.75,4.21,1.72,2.1,1.8,2.13,1.82,2.17,1.77,2.07,-0.5,1.85,2.08,1.88,2.06,1.89,2.09,1.85,2.03
E0,25/10/2020,14:00,Southampton,Everton,2,0,H,2,0,H,K Friend,12,6,6,2,11,11,4,5,1,2,0,1,2.75,3.4,2.55,2.8,3.5,2.45,2.75,3.25,2.55,2.84,3.58,2.58,2.75,3.4,2.55,2.75,3.5,2.5,2.88,3.58,2.62,2.78,3.47,2.54,1.8,2,1.81,2.11,1.84,2.12,1.79,2.05,0,2.05,1.88,2.07,1.88,2.07,1.91,2.02,1.86,3,3.6,2.25,2.95,3.6,2.3,3.05,3.3,2.3,3.08,3.56,2.41,3,3.5,2.3,3.1,3.5,2.25,3.27,3.69,2.42,3.05,3.53,2.32,1.72,2.1,1.77,2.18,1.78,2.26,1.74,2.12,0.25,1.88,2.05,1.86,2.08,1.92,2.09,1.87,2.02
E0,06/11/2020,20:00,Southampton,Newcastle,2,0,H,1,0,H,P Bankes,15,4,8,2,12,11,8,3,1,2,0,0,2,3.6,3.7,2,3.5,3.75,2.05,3.6,3.5,2.08,3.62,3.8,2,3.6,3.7,2,3.6,3.7,2.1,3.76,3.84,2.04,3.58,3.7,1.8,2,1.87,2.06,1.88,2.08,1.83,2,-0.5,2.06,1.87,2.08,1.86,2.08,1.9,2.03,1.84,2.1,3.5,3.4,2.15,3.4,3.4,2.15,3.5,3.45,2.2,3.47,3.59,2.15,3.4,3.4,2.15,3.4,3.4,2.28,3.65,3.91,2.16,3.43,3.46,1.9,1.9,2.01,1.92,2.03,2.05,1.93,1.89,-0.25,1.91,2.02,1.89,2.04,1.94,2.05,1.88,2
E0,29/11/2020,14:00,Southampton,Man United,2,3,A,2,0,H,J Moss,10,15,5,6,12,12,5,9,1,0,0,0,4,3.5,1.95,3.8,3.6,1.95,3.65,3.5,2,3.94,3.66,2.02,3.9,3.4,2,3.75,3.5,2,4.06,3.68,2.07,3.8,3.57,2,1.8,2,1.8,2.11,1.93,2.11,1.81,2.01,0.5,1.89,2.01,1.91,2.02,1.93,2.05,1.86,2,3.8,3.6,1.95,3.75,3.7,1.95,3.65,3.6,1.97,3.92,3.86,1.96,4,3.6,1.91,3.9,3.6,1.93,4.18,3.86,2,3.83,3.72,1.95,1.72,2.1,1.76,2.18,1.8,2.26,1.73,2.12,0.5,1.95,1.95,1.96,1.96,1.98,2.02,1.92,1.96
E0,13/12/2020,12:00,Southampton,Sheffield United,3,0,H,1,0,H,A Madley,16,3,6,0,8,14,8,4,0,1,0,0,1.7,3.75,5,1.7,3.8,5,1.73,3.5,4.9,1.73,4.01,5.07,1.7,3.8,5,1.7,3.7,5.25,1.76,4.01,5.25,1.72,3.83,4.95,2.01,1.89,2.01,1.89,2.07,1.92,1.99,1.83,-0.75,1.97,1.96,1.97,1.94,1.98,1.97,1.94,1.93,1.61,3.8,5.25,1.65,3.9,5.25,1.63,3.95,5.25,1.65,4.11,5.75,1.63,3.9,5.5,1.6,4,5.75,1.68,4.25,5.81,1.64,4.03,5.45,1.8,2,1.86,2.05,1.9,2.15,1.82,2.01,-1,2.02,1.77,2.17,1.78,2.2,1.91,2.11,1.78
E0,19/12/2020,15:00,Southampton,Man City,0,1,A,0,1,A,M Dean,9,11,3,5,9,11,6,6,2,2,0,0,7,4.5,1.44,6.25,4.6,1.48,6.25,4.4,1.5,6.56,4.72,1.51,6.5,4.6,1.47,7,4.6,1.45,7,4.95,1.53,6.48,4.63,1.48,1.57,2.37,1.6,2.47,1.64,2.6,1.57,2.43,1.25,1.85,2.08,1.86,2.07,1.88,2.11,1.83,2.05,6,4.5,1.45,6,4.6,1.5,6,4.4,1.53,5.97,4.81,1.54,6.5,4.5,1.5,6,4.33,1.53,6.67,5.02,1.56,5.98,4.64,1.52,1.57,2.37,1.58,2.52,1.67,2.59,1.55,2.45,1,2.07,1.86,2.06,1.87,2.09,1.9,2.03,1.84
E0,29/12/2020,18:00,Southampton,West Ham,0,0,D,0,0,D,A Madley,8,8,3,3,16,15,4,3,3,1,0,0,2.1,3.6,3.4,2.15,3.6,3.25,2.2,3.4,3.25,2.23,3.57,3.4,2.2,3.4,3.3,2.15,3.4,3.4,2.27,3.6,3.52,2.19,3.48,3.33,1.94,1.96,1.97,1.93,1.98,1.98,1.9,1.92,-0.25,1.92,2.01,1.93,2,1.94,2.04,1.9,1.98,2,3.5,3.75,2,3.5,3.75,2.05,3.5,3.55,2.05,3.65,3.84,2,3.5,3.75,2,3.6,3.7,2.09,3.72,3.9,2.03,3.58,3.71,1.72,2.1,1.79,2.13,1.82,2.26,1.75,2.09,-0.5,2.04,1.89,2.05,1.88,2.08,1.91,2.02,1.86
E0,04/01/2021,20:00,Southampton,Liverpool,1,0,H,1,0,H,A Marriner,7,17,3,1,5,12,1,10,1,3,0,0,5,4.33,1.61,4.75,4.25,1.65,4.8,3.9,1.65,5.03,4.44,1.67,5,4.2,1.63,5,4.1,1.65,5.1,4.5,1.7,4.89,4.24,1.65,1.61,2.3,1.66,2.35,1.69,2.37,1.63,2.29,0.75,2.06,1.84,2.08,1.85,2.11,1.88,2.05,1.83,5.75,4.75,1.5,5.75,4.75,1.5,5.8,4.65,1.5,6.16,4.92,1.52,6,4.6,1.5,6,4.6,1.5,6.57,5.11,1.56,6,4.76,1.5,1.44,2.75,1.45,2.89,1.5,2.96,1.44,2.78,1.25,1.77,2.02,1.87,2.07,1.92,2.13,1.84,2.04
E0,26/01/2021,20:15,Southampton,Arsenal,1,3,A,1,2,A,K Friend,13,9,5,5,11,6,4,5,1,2,0,0,3.5,3.6,2.05,3.5,3.6,2.05,3.45,3.6,2.05,3.59,3.69,2.11,3.5,3.6,2.05,3.5,3.6,2.05,3.62,3.73,2.18,3.49,3.6,2.09,1.8,2,1.81,2.09,1.94,2.14,1.78,2.05,0.25,2.1,1.83,2.11,1.83,2.12,1.87,2.07,1.82,3.5,3.75,2,3.4,3.6,2.1,3.25,3.55,2.15,3.55,3.74,2.11,3.7,3.7,1.95,3.5,3.6,2.05,3.8,3.83,2.15,3.48,3.65,2.08,1.8,2,1.82,2.08,1.86,2.15,1.79,2.04,0.5,1.85,2.08,1.83,2.1,1.87,2.15,1.8,2.09
E0,30/01/2021,20:00,Southampton,Aston Villa,0,1,A,0,1,A,L Mason,20,8,5,4,12,11,7,1,1,0,0,0,2.8,3.6,2.37,2.8,3.6,2.4,2.85,3.55,2.4,2.9,3.73,2.44,2.88,3.5,2.38,2.88,3.5,2.4,2.98,3.76,2.52,2.86,3.59,2.41,1.72,2.1,1.71,2.24,1.77,2.29,1.7,2.18,0.25,1.8,2.1,1.82,2.12,1.85,2.16,1.79,2.09,3.2,3.7,2.1,3.1,3.6,2.2,3.2,3.65,2.15,3.37,3.74,2.18,3.3,3.6,2.15,3.25,3.7,2.1,3.49,3.85,2.33,3.22,3.68,2.18,1.66,2.2,1.69,2.29,1.73,2.37,1.66,2.26,0.25,2.03,1.9,2.03,1.9,2.05,1.99,1.98,1.9
E0,14/02/2021,12:00,Southampton,Wolves,1,2,A,1,0,H,G Scott,7,10,3,4,10,9,4,6,2,2,0,0,2.37,3.2,3.1,2.45,3.2,3,2.4,3.2,3.1,2.44,3.28,3.25,2.45,3.1,3.1,2.45,3.13,3.1,2.56,3.36,3.28,2.42,3.21,3.12,2.3,1.61,2.38,1.64,2.38,1.7,2.29,1.63,-0.25,2.1,1.83,2.08,1.86,2.14,1.86,2.07,1.82,2.2,3.2,3.6,2.15,3.25,3.6,2.2,3.2,3.5,2.27,3.29,3.6,2.2,3.25,3.5,2.2,3.2,3.5,2.68,3.5,3.65,2.23,3.24,3.49,2.2,1.66,2.26,1.7,2.31,1.87,2.2,1.68,-0.25,1.96,1.97,1.93,1.99,1.97,2.03,1.92,1.96
