Div,Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,Referee,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,B365H,B365D,B365A,BWH,BWD,BWA,IWH,IWD,IWA,PSH,PSD,PSA,WHH,WHD,WHA,VCH,VCD,VCA,MaxH,MaxD,MaxA,AvgH,AvgD,AvgA,B365>2.5,B365<2.5,P>2.5,P<2.5,Max>2.5,Max<2.5,Avg>2.5,Avg<2.5,AHh,B365AHH,B365AHA,PAHH,PAHA,MaxAHH,MaxAHA,AvgAHH,AvgAHA,B365CH,B365CD,B365CA,BWCH,BWCD,BWCA,IWCH,IWCD,IWCA,PSCH,PSCD,PSCA,WHCH,WHCD,WHCA,VCCH,VCCD,VCCA,MaxCH,MaxCD,MaxCA,AvgCH,AvgCD,AvgCA,B365C>2.5,B365C<2.5,PC>2.5,PC<2.5,MaxC>2.5,MaxC<2.5,AvgC>2.5,AvgC<2.5,AHCh,B365CAHH,B365CAHA,PCAHH,PCAHA,MaxCAHH,MaxCAHA,AvgCAHH,AvgCAHA
E0,13/09/2020,16:30,Tottenham,Everton,0,1,A,0,0,D,M Atkinson,9,15,5,4,15,7,5,3,1,0,0,0,1.83,3.6,4.33,1.85,3.6,4.33,1.95,3.25,4.1,1.94,3.57,4.3,1.88,3.5,4.33,1.87,3.5,4.33,1.98,3.68,4.5,1.9,3.55,4.2,1.9,1.9,2.01,1.9,2.04,1.95,1.94,1.88,-0.5,1.91,1.99,1.93,1.99,1.93,2.02,1.9,1.96,2,3.4,3.8,2,3.4,3.9,2.05,3.1,3.75,2.09,3.5,3.88,2.05,3.3,3.8,2.1,3.4,3.75,2.16,3.5,4.05,2.07,3.39,3.79,2,1.8,2.08,1.85,2.15,1.92,2.05,1.79,-0.5,2.09,1.81,2.09,1.85,2.16,1.86,2.08,1.81
E0,27/09/2020,14:00,Tottenham,Newcastle,1,1,D,1,0,H,P Bankes,23,6,12,1,15,9,10,4,1,4,0,0,1.45,4.5,7,1.48,4.4,6.75,1.5,4.2,6.75,1.49,4.67,7.38,1.47,4.33,7.5,1.44,4.5,7.5,1.51,4.75,7.8,1.47,4.5,6.95,1.72,2.1,1.78,2.16,1.82,2.17,1.75,2.1,-1.25,2.07,1.83,2.13,1.83,2.13,1.86,2.07,1.81,1.4,4.8,8,1.45,4.5,7,1.43,4.5,7.5,1.42,5.05,8.16,1.4,4.75,8,1.4,4.75,8.5,1.45,5.21,8.5,1.41,4.82,7.75,1.66,2.2,1.71,2.26,1.74,2.37,1.69,2.2,-1.25,1.93,1.97,1.95,1.97,2,2,1.94,1.94
E0,18/10/2020,16:30,Tottenham,West Ham,3,3,D,3,0,H,P Tierney,11,13,6,4,13,12,3,7,0,5,0,0,1.57,4.33,5.5,1.57,4.25,5.5,1.63,3.95,5,1.64,4.21,5.63,1.62,4,5.5,1.6,4.2,5.25,1.67,4.35,5.75,1.62,4.19,5.34,1.57,2.37,1.61,2.47,1.65,2.47,1.59,2.37,-1,2.07,1.83,2.11,1.83,2.12,1.87,2.06,1.83,1.6,4.2,5.5,1.62,4.1,5.25,1.65,4.2,4.9,1.65,4.17,5.61,1.62,4,5.5,1.6,4.2,5.25,1.69,4.4,5.66,1.63,4.16,5.36,1.57,2.37,1.64,2.39,1.69,2.47,1.61,2.34,-0.75,1.77,2.14,1.82,2.12,1.83,2.17,1.79,2.11
E0,01/11/2020,19:15,Tottenham,Brighton,2,1,H,1,0,H,G Scott,9,6,3,2,14,13,4,5,2,1,0,0,1.61,4,5.5,1.62,4.25,5,1.65,3.9,5,1.65,4.26,5.54,1.63,4,5.25,1.62,4.2,5.25,1.67,4.3,5.75,1.63,4.17,5.29,1.66,2.2,1.68,2.32,1.71,2.35,1.65,2.26,-1,2.02,1.77,2.15,1.8,2.16,1.84,2.09,1.8,1.55,4.33,6,1.57,4.25,5.5,1.6,4.2,5.75,1.61,4.36,5.77,1.57,4,6,1.57,4.2,5.75,1.63,4.45,6.39,1.59,4.29,5.62,1.66,2.2,1.68,2.32,1.72,2.37,1.65,2.27,-1,2.06,1.84,2.11,1.84,2.13,1.99,2.02,1.86
E0,21/11/2020,17:30,Tottenham,Man City,2,0,H,1,0,H,M Dean,4,22,2,5,13,19,0,10,2,2,0,0,4,4,1.8,4.1,3.8,1.83,3.95,4,1.8,4.24,4.21,1.82,4.2,3.9,1.8,4.2,3.9,1.8,4.35,4.21,1.88,4.1,4.03,1.81,1.57,2.37,1.63,2.43,1.67,2.49,1.6,2.37,0.75,1.85,2.08,1.88,2.05,1.89,2.11,1.83,2.05,4.2,4,1.75,4.2,4.1,1.75,3.8,4,1.83,4.3,4.21,1.81,4.2,4,1.8,4.1,4,1.8,4.6,4.35,1.86,4.12,4.09,1.8,1.57,2.37,1.58,2.51,1.64,2.55,1.57,2.43,0.75,1.88,2.05,1.89,2.03,1.91,2.08,1.85,2.03
E0,06/12/2020,16:30,Tottenham,Arsenal,2,0,H,2,0,H,M Atkinson,6,11,3,2,16,12,3,9,1,2,0,0,1.95,3.6,3.8,1.95,3.6,3.8,2,3.5,3.7,2.07,3.56,3.87,2,3.5,3.8,1.95,3.5,3.9,2.1,3.7,4,2.01,3.54,3.79,1.9,1.9,1.96,1.94,1.99,2,1.92,1.9,-0.5,2.05,1.88,2.07,1.86,2.08,1.94,2,1.86,2.15,3.5,3.4,2.15,3.4,3.4,2.15,3.45,3.35,2.3,3.54,3.29,2.15,3.4,3.4,2.15,3.4,3.4,2.31,3.66,3.56,2.19,3.47,3.36,1.9,1.9,1.92,1.99,1.94,2.06,1.88,1.94,-0.25,1.95,1.98,1.98,1.94,1.98,2.02,1.89,1.99
E0,20/12/2020,14:15,Tottenham,Leicester,0,2,A,0,1,A,C Pawson,8,17,3,4,15,14,5,3,2,2,0,0,2.05,3.5,3.6,2.05,3.5,3.6,2.1,3.25,3.6,2.1,3.54,3.79,2.05,3.4,3.7,2.05,3.5,3.6,2.16,3.79,3.79,2.08,3.48,3.62,1.8,2,1.83,2.08,1.85,2.17,1.78,2.05,-0.5,2.08,1.85,2.1,1.84,2.17,1.87,2.07,1.8,2.05,3.5,3.6,2.1,3.5,3.5,2.1,3.45,3.4,2.15,3.54,3.63,2.05,3.4,3.75,2.05,3.5,3.6,2.16,3.6,3.91,2.1,3.48,3.56,1.9,1.9,1.92,1.99,1.94,2.05,1.86,1.96,-0.25,1.83,2.1,1.85,2.08,1.86,2.16,1.82,2.07
E0,02/01/2021,12:30,Tottenham,Leeds,3,0,H,2,0,H,D Coote,20,18,7,5,15,13,3,5,2,1,1,0,1.75,4.1,4.2,1.78,3.9,4.25,1.8,3.9,3.9,1.81,4.13,4.34,1.8,3.9,4.2,1.75,4.1,4.1,1.85,4.28,4.37,1.8,4.05,4.15,1.44,2.75,1.45,2.9,1.48,2.91,1.44,2.79,-0.75,2.02,1.88,2.04,1.89,2.07,1.91,2.02,1.87,1.83,4,4,1.87,3.9,3.9,1.9,3.95,3.7,1.89,4.08,3.98,1.83,3.75,4.2,1.85,4,3.9,1.92,4.18,4.5,1.85,4,3.97,1.53,2.5,1.52,2.66,1.58,2.8,1.5,2.6,-0.5,1.87,2.03,1.89,2.03,1.91,2.16,1.85,2.03
E0,13/01/2021,20:15,Tottenham,Fulham,1,1,D,1,0,H,P Tierney,15,15,6,4,13,15,6,5,1,2,0,0,1.36,5,8.5,1.4,4.75,8,1.42,4.8,7.2,1.36,4.97,8.16,1.4,4.75,8,1.4,4.75,8,1.43,5.3,8.75,1.4,4.91,7.98,1.66,2.2,1.67,2.2,1.75,2.26,1.68,2.21,-1.25,1.93,1.97,1.91,1.93,1.97,2.01,1.92,1.95,1.61,3.8,6,1.62,3.8,5.75,1.65,3.7,5.8,1.66,3.85,6.19,1.62,3.7,6.5,1.6,3.75,6.5,1.67,4.05,6.64,1.63,3.82,6.06,2.1,1.72,2.23,1.72,2.26,1.87,2.12,1.74,-1,2.05,1.75,2.21,1.75,2.23,1.88,2.13,1.76
E0,28/01/2021,20:00,Tottenham,Liverpool,1,3,A,0,1,A,M Atkinson,3,14,2,7,9,11,1,2,1,2,0,0,3.2,3.6,2.2,3.1,3.7,2.2,3.2,3.5,2.2,3.33,3.61,2.25,3.2,3.4,2.25,3.25,3.5,2.2,3.45,3.73,2.3,3.22,3.54,2.22,1.8,2,1.84,2.06,1.87,2.14,1.8,2.04,0.25,1.99,1.94,1.98,1.94,2,1.96,1.95,1.92,3.6,3.9,1.95,3.5,3.75,2,3.5,3.7,2,3.69,3.9,2.02,3.6,3.75,1.95,3.6,3.7,2,3.75,3.98,2.11,3.57,3.8,2.01,1.61,2.3,1.68,2.32,1.72,2.45,1.64,2.28,0.5,1.88,2.05,1.91,2.02,1.91,2.1,1.86,2.02
