Div,Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,Referee,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,B365H,B365D,B365A,BWH,BWD,BWA,IWH,IWD,IWA,PSH,PSD,PSA,WHH,WHD,WHA,VCH,VCD,VCA,MaxH,MaxD,MaxA,AvgH,AvgD,AvgA,B365>2.5,B365<2.5,P>2.5,P<2.5,Max>2.5,Max<2.5,Avg>2.5,Avg<2.5,AHh,B365AHH,B365AHA,PAHH,PAHA,MaxAHH,MaxAHA,AvgAHH,AvgAHA,B365CH,B365CD,B365CA,BWCH,BWCD,BWCA,IWCH,IWCD,IWCA,PSCH,PSCD,PSCA,WHCH,WHCD,WHCA,VCCH,VCCD,VCCA,MaxCH,MaxCD,MaxCA,AvgCH,AvgCD,AvgCA,B365C>2.5,B365C<2.5,PC>2.5,PC<2.5,MaxC>2.5,MaxC<2.5,AvgC>2.5,AvgC<2.5,AHCh,B365CAHH,B365CAHA,PCAHH,PCAHA,MaxCAHH,MaxCAHA,AvgCAHH,AvgCAHA
E0,13/09/2020,14:00,West Brom,Leicester,0,3,A,0,0,D,A Taylor,7,13,1,7,12,9,2,5,1,1,0,0,3.8,3.6,1.95,3.7,3.6,2,3.85,3.2,2,4,3.59,2,3.8,3.6,1.95,4,3.5,1.95,4,3.82,2.04,3.87,3.57,1.97,1.9,1.9,2,1.91,2.02,2.03,1.92,1.9,0.5,1.91,1.99,1.92,2,1.93,2.02,1.88,1.97,3.25,3.4,2.2,3.3,3.4,2.2,3.35,3,2.3,3.38,3.38,2.32,3.3,3.3,2.25,3.3,3.3,2.3,3.55,3.5,2.38,3.32,3.33,2.28,2.2,1.66,2.23,1.74,2.28,1.82,2.15,1.73,0.25,1.92,1.98,1.93,1.99,1.95,2.01,1.91,1.97
E0,26/09/2020,17:30,West Brom,Chelsea,3,3,D,3,0,H,J Moss,9,22,3,10,8,16,3,9,1,3,0,0,9,4.75,1.36,8.5,4.5,1.4,8,4.7,1.4,8.55,5.33,1.39,8.5,4.8,1.38,9,5,1.36,9,5.35,1.42,8.24,5.02,1.38,1.66,2.2,1.65,2.39,1.68,2.4,1.64,2.28,1.25,2.07,1.83,2.07,1.87,2.08,1.89,2.03,1.85,6.5,4.75,1.44,7,4.6,1.45,6,4.6,1.5,6.96,5.03,1.47,7,4.6,1.44,7,4.6,1.44,7.4,5.03,1.5,6.71,4.76,1.46,1.53,2.5,1.56,2.59,1.6,2.59,1.55,2.46,1.25,1.89,2.01,1.9,2.03,2.01,2.11,1.88,2.01
E0,19/10/2020,17:30,West Brom,Burnley,0,0,D,0,0,D,A Taylor,13,9,6,4,15,17,8,2,2,2,0,0,2.45,3.3,2.9,2.45,3.3,2.95,2.5,3.05,2.95,2.54,3.37,3.05,2.45,3.3,3,2.45,3.2,3,2.58,3.5,3.1,2.49,3.3,2.97,2.1,1.72,2.16,1.78,2.21,1.8,2.12,1.73,-0.25,2.08,1.73,2.16,1.79,2.19,1.83,2.12,1.78,2.55,3.25,2.9,2.45,3.3,2.95,2.55,3.05,2.9,2.73,3.25,2.9,2.6,3.25,2.8,2.5,3.3,2.88,2.75,3.47,3.01,2.58,3.27,2.87,2.01,1.89,2.01,1.91,2.08,1.98,1.99,1.84,0,1.87,2.03,1.91,2.03,1.91,2.13,1.85,2.03
E0,08/11/2020,12:00,West Brom,Tottenham,0,1,A,0,0,D,A Madley,12,19,2,5,17,12,9,6,1,0,0,0,7,4.33,1.45,6,4.2,1.55,6.25,4.3,1.53,6.58,4.45,1.54,6.5,4.33,1.5,7,4.4,1.5,7,4.58,1.56,6.38,4.38,1.52,1.72,2.1,1.71,2.26,1.75,2.26,1.7,2.17,1,2.07,1.86,2.04,1.89,2.08,1.91,2.02,1.85,6,4.6,1.5,6.5,4.75,1.45,7,4.7,1.45,6.88,4.71,1.5,7,4.4,1.47,7,4.5,1.45,7,4.85,1.57,6.41,4.6,1.49,1.66,2.2,1.69,2.3,1.7,2.37,1.65,2.25,1,2.15,1.79,2.12,1.81,2.16,1.84,2.09,1.8
E0,28/11/2020,20:00,West Brom,Sheffield United,1,0,H,1,0,H,M Dean,17,21,6,5,10,9,14,9,2,3,0,0,2.6,3.2,2.8,2.55,3.1,2.95,2.55,3.2,2.8,2.66,3.22,2.99,2.6,3.2,2.8,2.6,3.13,2.9,2.72,3.34,3.03,2.6,3.17,2.9,2.3,1.61,2.36,1.65,2.38,1.68,2.28,1.63,0,1.84,2.06,1.85,2.08,1.87,2.09,1.84,2.03,2.6,3.2,2.8,2.65,3.1,2.85,2.65,3.15,2.75,2.67,3.17,3.02,2.62,3.1,2.88,2.63,3.1,2.88,2.72,3.27,3.06,2.64,3.13,2.89,2.3,1.61,2.38,1.64,2.43,1.7,2.31,1.62,0,1.83,2.07,1.85,2.09,1.92,2.1,1.85,2.03
E0,06/12/2020,12:00,West Brom,Crystal Palace,1,5,A,1,1,D,P Tierney,9,18,4,6,10,16,4,6,2,2,1,0,2.87,3.2,2.55,2.8,3.2,2.6,2.85,3.1,2.55,2.98,3.3,2.61,2.88,3.2,2.55,2.88,3.13,2.6,3.02,3.34,2.65,2.9,3.21,2.58,2.2,1.66,2.25,1.71,2.3,1.72,2.21,1.67,0,2.08,1.85,2.1,1.84,2.13,1.88,2.03,1.83,2.87,3.25,2.5,3,3.2,2.45,2.85,3.2,2.5,3.14,3.4,2.44,3,3.2,2.45,3,3.3,2.45,3.14,3.48,2.6,3.01,3.29,2.46,2,1.8,2.03,1.88,2.16,1.89,2.03,1.8,0.25,1.83,2.1,1.85,2.09,1.88,2.14,1.81,2.08
E0,20/12/2020,19:15,West Brom,Aston Villa,0,3,A,0,1,A,M Atkinson,1,19,1,10,14,8,1,7,1,2,1,0,3.6,3.8,1.95,3.7,3.8,1.95,3.65,3.45,1.97,3.82,3.83,2,3.7,3.6,2,3.7,3.6,2,3.88,3.86,2.06,3.69,3.7,1.99,1.72,2.1,1.8,2.11,1.81,2.16,1.75,2.1,0.5,1.91,2.02,1.93,2,1.94,2.05,1.87,1.99,4.5,4,1.72,4.33,4,1.75,4.5,3.75,1.77,5.08,4.17,1.7,4.6,3.9,1.73,4.8,3.8,1.73,5.08,4.23,1.78,4.64,4.02,1.73,1.72,2.1,1.75,2.18,1.78,2.26,1.73,2.13,0.75,2.02,1.91,2.05,1.88,2.06,1.99,1.95,1.93
E0,29/12/2020,18:00,West Brom,Leeds,0,5,A,0,4,A,L Mason,4,14,1,6,7,10,3,10,0,1,0,0,3.6,3.6,2,3.6,3.7,2,3.5,3.65,2,3.72,3.71,2.06,3.6,3.5,2.05,3.5,3.75,2,4.07,3.83,2.12,3.59,3.67,2.03,1.57,2.37,1.65,2.38,1.67,2.42,1.61,2.32,0.5,1.85,2.05,1.87,2.06,1.88,2.12,1.83,2.04,4,4,1.8,4.1,4,1.8,4.1,3.6,1.9,4.35,4.04,1.83,4.2,3.9,1.8,4.2,3.9,1.8,4.6,4.15,1.9,4.23,3.96,1.81,1.61,2.3,1.68,2.3,1.69,2.38,1.64,2.28,0.75,1.86,2.04,1.88,2.06,1.96,2.08,1.86,2.02
E0,02/01/2021,20:00,West Brom,Arsenal,0,4,A,0,2,A,M Atkinson,7,21,3,12,7,4,3,5,1,2,0,0,5.75,4,1.57,5.75,4.1,1.57,5.5,3.75,1.63,5.98,4.09,1.63,6.5,4.2,1.53,6,4,1.57,6.5,4.2,1.66,5.78,4.01,1.61,1.9,1.9,1.92,1.98,1.93,2.09,1.84,1.98,1,1.84,2.06,1.8,2.13,1.86,2.13,1.81,2.07,6,4,1.57,6,3.9,1.6,5.75,3.9,1.6,6.21,4.14,1.61,6.5,4,1.53,6.5,3.9,1.57,6.68,4.25,1.67,5.98,4.01,1.6,1.9,1.9,1.99,1.91,2.06,1.96,1.95,1.87,1,1.83,2.07,1.85,2.09,1.89,2.14,1.82,2.06
E0,26/01/2021,20:15,West Brom,Man City,0,5,A,0,4,A,C Kavanagh,4,18,1,7,8,8,3,8,2,0,0,0,15,7.5,1.18,16,7.25,1.18,15,6.75,1.2,15.82,7.25,1.21,12,7,1.22,18,7,1.18,18,7.5,1.23,15.44,7.06,1.2,1.57,2.37,1.6,2.44,1.64,2.51,1.57,2.42,2,1.86,2.07,1.85,2.06,1.92,2.1,1.85,2.02,18,8,1.14,19.5,8.25,1.14,21,8,1.15,20.07,8.8,1.16,17,8,1.15,22,8.5,1.13,26,9.3,1.17,19.5,8.28,1.15,1.44,2.75,1.45,2.86,1.55,2.88,1.47,2.7,2.25,1.92,2.01,1.93,1.98,1.94,2.05,1.87,2
