Div,Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,Referee,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,B365H,B365D,B365A,BWH,BWD,BWA,IWH,IWD,IWA,PSH,PSD,PSA,WHH,WHD,WHA,VCH,VCD,VCA,MaxH,MaxD,MaxA,AvgH,AvgD,AvgA,B365>2.5,B365<2.5,P>2.5,P<2.5,Max>2.5,Max<2.5,Avg>2.5,Avg<2.5,AHh,B365AHH,B365AHA,PAHH,PAHA,MaxAHH,MaxAHA,AvgAHH,AvgAHA,B365CH,B365CD,B365CA,BWCH,BWCD,BWCA,IWCH,IWCD,IWCA,PSCH,PSCD,PSCA,WHCH,WHCD,WHCA,VCCH,VCCD,VCCA,MaxCH,MaxCD,MaxCA,AvgCH,AvgCD,AvgCA,B365C>2.5,B365C<2.5,PC>2.5,PC<2.5,MaxC>2.5,MaxC<2.5,AvgC>2.5,AvgC<2.5,AHCh,B365CAHH,B365CAHA,PCAHH,PCAHA,MaxCAHH,MaxCAHA,AvgCAHH,AvgCAHA
E0,19/09/2020,20:00,Arsenal,West Ham,2,1,H,1,1,D,M Oliver,7,14,3,3,11,13,7,5,0,1,0,0,1.53,4.5,5.5,1.53,4.33,6,1.55,4.2,5.75,1.54,4.58,6.09,1.52,4.4,6,1.55,4.33,6,1.57,4.75,6.55,1.53,4.51,5.91,1.66,2.2,1.66,2.36,1.7,2.41,1.64,2.3,-1,1.89,2.01,1.93,2,1.94,2.05,1.87,2,1.45,4.5,7,1.5,4.5,6.25,1.6,4.3,5.25,1.53,4.53,6.81,1.47,4.4,7,1.53,4.33,6.5,1.6,4.8,7.16,1.51,4.46,6.48,1.66,2.2,1.66,2.36,1.76,2.37,1.67,2.24,-1,1.82,2.08,1.87,2.07,1.96,2.1,1.85,2.02
E0,03/02/2021,20:15,Aston Villa,West Ham,1,3,A,0,0,D,A Madley,9,20,2,10,11,15,7,3,1,1,0,0,2.2,3.4,3.25,2.15,3.4,3.4,2.2,3.45,3.3,2.23,3.5,3.46,2.2,3.3,3.4,2.15,3.5,3.3,2.28,3.59,3.48,2.21,3.43,3.33,1.72,2.1,1.73,2.22,1.77,2.25,1.7,2.17,-0.25,1.92,2.01,1.92,2,1.95,2.04,1.9,1.97,2.25,3.5,3.1,2.25,3.5,3.1,2.35,3.25,3.05,2.46,3.57,2.98,2.3,3.3,3.2,2.38,3.4,3,2.5,3.57,3.25,2.36,3.45,3.04,1.72,2.1,1.79,2.12,1.84,2.16,1.78,2.04,-0.25,2.11,1.82,2.12,1.82,2.13,1.88,2.05,1.82
E0,21/12/2020,20:00,Chelsea,West Ham,3,0,H,1,0,H,C Kavanagh,11,6,7,0,11,6,5,4,0,0,0,0,1.44,5,6.25,1.45,4.75,6.5,1.53,4.3,6,1.52,4.72,6.46,1.47,4.5,6.5,1.45,4.6,7,1.55,5,7,1.49,4.63,6.29,1.57,2.37,1.59,2.5,1.64,2.53,1.55,2.44,-1,1.7,2.1,1.83,2.11,1.85,2.17,1.79,2.07,1.53,4.33,5.75,1.55,4.33,5.75,1.57,4.2,5.75,1.61,4.43,5.64,1.57,4.2,5.8,1.57,4.2,5.75,1.64,4.6,6.27,1.58,4.3,5.59,1.66,2.2,1.72,2.22,1.74,2.38,1.67,2.21,-1,2.06,1.87,2.07,1.86,2.09,1.97,1.99,1.86
E0,26/01/2021,18:00,Crystal Palace,West Ham,2,3,A,1,2,A,S Attwell,6,17,3,7,9,8,3,4,0,0,0,0,3.1,3.25,2.37,3.1,3.25,2.4,3.15,3.2,2.35,3.21,3.32,2.44,3.2,3.3,2.3,3.13,3.2,2.4,3.27,3.4,2.5,3.16,3.27,2.39,2.2,1.66,2.25,1.71,2.29,1.75,2.2,1.69,0.25,1.86,2.07,1.85,2.08,1.89,2.09,1.84,2.05,3.5,3.3,2.15,3.4,3.2,2.25,3.55,3.3,2.15,3.64,3.38,2.21,3.5,3.3,2.15,3.5,3.25,2.2,3.81,3.54,2.38,3.53,3.33,2.18,2.1,1.72,2.2,1.74,2.27,1.83,2.11,1.75,0.25,2.04,1.89,2.03,1.89,2.06,2.01,2.01,1.87
E0,01/01/2021,17:30,Everton,West Ham,0,1,A,0,0,D,K Friend,10,11,2,5,9,7,5,4,2,0,0,0,2.1,3.5,3.5,2.15,3.5,3.3,2.15,3.35,3.45,2.19,3.52,3.55,2.15,3.4,3.5,2.1,3.4,3.6,2.22,3.58,3.81,2.15,3.44,3.5,1.9,1.9,2.02,1.89,2.05,1.93,1.96,1.86,-0.25,1.87,2.03,1.88,2.04,1.9,2.16,1.85,2.03,2.2,3.5,3.25,2.2,3.4,3.3,2.25,3.35,3.2,2.3,3.52,3.3,2.2,3.3,3.4,2.25,3.4,3.25,2.32,3.6,3.81,2.24,3.45,3.29,1.97,1.93,2,1.91,2.02,2.05,1.93,1.9,-0.25,1.96,1.94,1.98,1.94,2,2.16,1.93,1.95
E0,06/02/2021,17:30,Fulham,West Ham,0,0,D,0,0,D,M Dean,20,8,2,1,11,10,7,3,1,2,0,1,3.6,3.5,2.05,3.6,3.4,2.1,3.55,3.45,2.1,3.66,3.56,2.13,3.5,3.5,2.1,3.6,3.4,2.1,3.75,3.62,2.16,3.57,3.46,2.1,2,1.8,2.06,1.85,2.08,1.9,1.99,1.83,0.25,2.08,1.82,2.1,1.84,2.12,1.86,2.06,1.82,4,3.75,1.85,4,3.6,1.91,4.2,3.55,1.9,4.07,3.67,1.98,4.2,3.6,1.88,4.33,3.5,1.87,4.37,3.84,2.05,4.1,3.63,1.91,1.9,1.9,2.02,1.89,2.03,2.05,1.96,1.86,0.5,1.95,1.98,1.94,1.98,2.02,2,1.96,1.92
E0,11/12/2020,20:00,Leeds,West Ham,1,2,A,1,1,D,M Oliver,13,19,7,8,12,10,5,6,1,2,0,0,2.15,3.7,3.1,2.2,3.6,3.1,2.15,3.6,3.15,2.22,3.71,3.3,2.2,3.5,3.25,2.15,3.75,3.13,2.25,3.8,3.35,2.18,3.67,3.2,1.57,2.37,1.59,2.5,1.64,2.53,1.58,2.4,-0.25,1.94,1.99,1.93,1.99,1.95,2.01,1.9,1.97,2.05,3.75,3.3,2.1,3.75,3.25,2.15,3.65,3.2,2.19,3.78,3.32,2.1,3.7,3.25,2.1,3.8,3.2,2.22,3.85,3.39,2.14,3.75,3.23,1.53,2.5,1.54,2.64,1.57,2.69,1.52,2.53,-0.25,1.91,2.02,1.91,2.02,1.94,2.04,1.88,1.99
E0,04/10/2020,12:00,Leicester,West Ham,0,3,A,0,2,A,A Madley,4,14,0,6,11,8,6,4,2,2,0,0,1.61,4.2,5.25,1.65,4.1,5,1.73,3.8,4.6,1.7,4.16,4.94,1.7,4,4.8,1.65,4.1,5,1.73,4.3,5.25,1.68,4.12,4.86,1.66,2.2,1.68,2.31,1.72,2.31,1.66,2.23,-0.75,1.88,2.05,1.92,2.01,1.92,2.08,1.86,2.01,1.75,4,4.2,1.85,3.75,4.2,1.9,3.65,3.9,1.87,3.88,4.38,1.8,3.8,4.33,1.8,3.9,4.2,1.9,4.25,4.59,1.82,3.89,4.21,1.57,2.37,1.63,2.43,1.63,2.55,1.59,2.38,-0.75,2.05,1.75,2.12,1.82,2.12,1.96,2.06,1.83
E0,31/10/2020,17:30,Liverpool,West Ham,2,1,H,1,1,D,K Friend,9,4,5,3,13,14,1,2,0,1,0,0,1.36,5.25,7.5,1.36,5.25,7.75,1.43,5,6.5,1.4,5.32,8.03,1.38,5,8,1.36,5.25,7.5,1.43,5.6,8.1,1.39,5.26,7.43,1.4,3,1.41,3.12,1.43,3.13,1.4,2.95,-1.5,2.02,1.77,2.12,1.81,2.13,1.87,2.05,1.82,1.4,5,7,1.4,5.25,6.75,1.37,5.5,7.5,1.44,5.3,7.1,1.42,5,7,1.4,5,7.5,1.46,5.5,7.54,1.42,5.15,6.96,1.44,2.75,1.45,2.94,1.45,3.05,1.42,2.85,-1.25,1.91,1.99,1.93,2,1.94,2.04,1.9,1.99
E0,22/11/2020,14:00,Sheffield United,West Ham,0,1,A,0,0,D,M Atkinson,9,15,5,3,7,6,2,6,0,0,0,0,3,3.25,2.4,3,3.3,2.4,3.05,3,2.45,3.2,3.3,2.48,3,3.3,2.4,3,3.2,2.45,3.2,3.46,2.53,3.06,3.26,2.43,2.1,1.72,2.12,1.79,2.25,1.81,2.11,1.74,0.25,1.82,2.11,1.83,2.1,1.85,2.16,1.8,2.08,3.1,3.2,2.4,3,3.25,2.45,3.05,3.15,2.4,3.09,3.25,2.56,3.2,3.1,2.4,3,3.2,2.45,3.37,3.3,2.61,3.09,3.2,2.46,2.2,1.66,2.21,1.74,2.24,1.76,2.15,1.71,0.25,1.7,2.1,1.78,2.16,1.86,2.21,1.78,2.11
